p,seed,method,evaluation,code,selected,fits,validation_acc,validation_normalized_margin,validation_mean_margin,relative_residual,bank_predicted_z,bank_candidates_scored
17,2000,bank,0,123,True,0,,,,,2.687118788110612,128
17,2000,greedy_probe,0,0,False,11,1.0,1.5837395843170474,0.001409534243557967,3.6197517383804905e-14,,
17,2000,greedy_probe,1,32,False,11,0.16666666666666666,-0.35186699366011204,-0.00032775931859411095,3.541252412502677e-14,,
17,2000,greedy_probe,2,2,False,11,0.5,0.17349747527331302,0.0001256075700607276,3.7157426959146773e-14,,
17,2000,greedy_probe,3,8,False,11,1.0,1.3643015221221813,0.0013975133381581965,3.548245399673533e-14,,
17,2000,greedy_probe,4,64,False,11,1.0,2.11138570903066,0.0016973729049342575,3.542444481307519e-14,,
17,2000,greedy_probe,5,80,False,11,1.0,1.2596234396557728,0.0011799954348725716,3.3313581649749536e-14,,
17,2000,greedy_probe,6,65,True,11,1.0,2.1935490043630375,0.00182495937298584,3.376538747281576e-14,,
17,2000,greedy_probe,7,69,False,11,1.0,1.7376738746339493,0.0014470667759412085,3.5028352049168744e-14,,
17,2000,greedy_probe,8,97,False,11,0.8333333333333334,0.664861636122797,0.00046854963185007553,3.451007889853212e-14,,
17,2000,greedy_probe,9,67,False,11,0.8333333333333334,0.7518055336130947,0.00039956627233832714,3.8359373189736256e-14,,
17,2000,greedy_probe,10,73,False,11,1.0,1.5747351797758231,0.0016003667909108125,3.600110165372841e-14,,
17,2000,random_full,0,0,False,60,1.0,1.5933050788199534,0.001420719102064721,3.694393286185458e-14,,
17,2000,random_full,1,1,True,60,1.0,1.7848665174742682,0.0016038315914951768,3.514563921671233e-14,,
17,2000,random_probe,0,0,False,11,1.0,1.5837395843170474,0.001409534243557967,3.6197517383804905e-14,,
17,2000,random_probe,1,1,False,11,1.0,1.7759153115021846,0.0015926986131704693,3.264332804342893e-14,,
17,2000,random_probe,2,3,False,11,1.0,0.3972431154521734,0.00028118944255186434,3.5464086694599686e-14,,
17,2000,random_probe,3,58,False,11,1.0,1.6528272406639013,0.0016341863917495407,3.495911540282476e-14,,
17,2000,random_probe,4,33,False,11,0.5,0.0008454511600029524,4.189424146349337e-06,3.374174482581579e-14,,
17,2000,random_probe,5,61,False,11,1.0,0.4438338764529211,0.000341261360049185,3.7348510585375626e-14,,
17,2000,random_probe,6,4,True,11,1.0,2.0410340418594095,0.0018273373200563502,3.615538700413435e-14,,
17,2000,random_probe,7,106,False,11,1.0,1.6056966731914006,0.0015407346717617038,3.7495696896031935e-14,,
17,2000,random_probe,8,70,False,11,0.6666666666666666,0.028967818394658423,2.6746699952185277e-05,3.6920582131472074e-14,,
17,2000,random_probe,9,19,False,11,1.0,0.6058272097517124,0.0006266950443904971,3.576555987698919e-14,,
17,2000,random_probe,10,36,False,11,0.5,0.03591899012636602,3.29490700218422e-05,3.88476865248658e-14,,
17,2001,bank,0,16,True,0,,,,,2.6683661814725825,128
17,2001,greedy_probe,0,0,False,11,1.0,1.9714779573177703,0.0007617405942003663,3.4455134342169905e-14,,
17,2001,greedy_probe,1,8,False,11,1.0,1.7410605425171812,0.0006765813887726924,3.3804162414732255e-14,,
17,2001,greedy_probe,2,1,False,11,0.3333333333333333,-0.1382219035997995,-3.622633473503167e-05,3.663487452886387e-14,,
17,2001,greedy_probe,3,64,False,11,1.0,1.3317381776343502,0.000661098318036589,3.47329435384648e-14,,
17,2001,greedy_probe,4,16,True,11,1.0,2.166199532636643,0.0008249245824035559,3.6884485375639657e-14,,
17,2001,greedy_probe,5,48,False,11,1.0,1.7155897486610996,0.0006035745681992588,3.8127648503783435e-14,,
17,2001,greedy_probe,6,18,False,11,1.0,1.74790369581188,0.0005944463488705351,3.4350316037269134e-14,,
17,2001,greedy_probe,7,20,False,11,1.0,0.847298224245999,0.0004054261107333326,3.754653677990497e-14,,
17,2001,greedy_probe,8,24,False,11,1.0,2.0280273434867304,0.000772459945976719,3.425349476290979e-14,,
17,2001,greedy_probe,9,17,False,11,0.5,-0.013088744265569371,2.497048570878254e-06,3.7239569986837574e-14,,
17,2001,greedy_probe,10,80,False,11,1.0,1.4236295392502278,0.0007010804838381568,3.7922740133034276e-14,,
17,2001,random_full,0,0,True,60,1.0,1.9842354786201934,0.0007687750082234027,3.491084891807512e-14,,
17,2001,random_full,1,9,False,60,0.16666666666666666,-0.39866272914491035,-0.00012096599859979147,3.520394234939916e-14,,
17,2001,random_probe,0,0,True,11,1.0,1.9714779573177703,0.0007617405942003663,3.4455134342169905e-14,,
17,2001,random_probe,1,9,False,11,0.16666666666666666,-0.42212705262050826,-0.00012826854509937619,3.538198757342583e-14,,
17,2001,random_probe,2,52,False,11,0.8333333333333334,0.3966447925955994,0.00019996129241034907,3.7032781252347824e-14,,
17,2001,random_probe,3,28,False,11,1.0,0.8320675290171903,0.0003967869273141175,3.6140858051053394e-14,,
17,2001,random_probe,4,103,False,11,1.0,0.8068807627772688,0.0002805904129406696,3.4932844685710534e-14,,
17,2001,random_probe,5,6,False,11,0.6666666666666666,0.2548938929932761,0.0001259025734270484,3.5631606035657286e-14,,
17,2001,random_probe,6,99,False,11,0.16666666666666666,-0.25643127949223554,-0.00011641815290412232,3.481339710204879e-14,,
17,2001,random_probe,7,91,False,11,0.0,-0.7117732790479026,-0.0002855426895295628,3.2969691607047074e-14,,
17,2001,random_probe,8,10,False,11,1.0,1.5859849431148219,0.0005486078233803172,3.821452905621413e-14,,
17,2001,random_probe,9,126,False,11,0.8333333333333334,0.26840668279592267,0.00011369711572837421,3.89262264535694e-14,,
17,2001,random_probe,10,113,False,11,0.0,-0.6319090100056713,-0.0002795185388272531,3.9070778369775245e-14,,
17,2002,bank,0,74,True,0,,,,,2.838214055714368,128
17,2002,greedy_probe,0,0,False,11,1.0,0.8766881094450568,0.0011498702270702303,3.679756983463824e-14,,
17,2002,greedy_probe,1,16,False,11,1.0,1.51523707356389,0.002227306638526825,3.640544117471683e-14,,
17,2002,greedy_probe,2,80,False,11,1.0,1.3284595829332464,0.0020347678738681188,3.928238583323485e-14,,
17,2002,greedy_probe,3,18,False,11,1.0,1.0760178919344567,0.0012683420652973496,3.514496601379018e-14,,
17,2002,greedy_probe,4,20,False,11,0.8333333333333334,0.44428804712941256,0.0006548797719500588,3.444185026114115e-14,,
17,2002,greedy_probe,5,17,False,11,0.3333333333333333,-0.2774035011397649,-0.0003479898945884727,3.34712861322962e-14,,
17,2002,greedy_probe,6,24,False,11,1.0,1.4833340293266293,0.002311194296165997,3.462774764081932e-14,,
17,2002,greedy_probe,7,48,False,11,1.0,2.552466306764489,0.0035227660494235153,3.7653672619064784e-14,,
17,2002,greedy_probe,8,32,False,11,1.0,0.6724017390143584,0.001001304855234438,4.519965665489953e-14,,
