p,method,directions,mean_test_acc,accuracy_ci_low,accuracy_ci_high,mean_test_normalized_margin,mean_validation_acc,mean_validation_test_gap,perfect_directions,zero_directions,mean_charged_fits,total_charged_fits,mean_online_seconds,mean_charged_seconds,max_kernel_condition,max_relative_residual,near_top_ties
17,unmodified,20,0.8318181818181818,0.6863636363636363,0.95,0.749284065639436,0.8500000000000002,0.01818181818181818,13,1,60.0,1200,,,36124.51997645508,3.9783437318353144e-14,0
17,bank,20,0.9954545454545455,0.9863636363636363,1.0,1.8764029404986968,1.0,0.004545454545454547,19,0,171.0,3420,0.5602392045499975,1.5916505255999978,35991.47784391051,3.880102076449259e-14,0
17,random_probe,20,1.0,1.0,1.0,1.5673238649625187,1.0,0.0,20,0,170.0,3400,1.5248517190500004,1.5248517190500004,35991.47784391051,3.7737183321064723e-14,0
17,greedy_probe,20,1.0,1.0,1.0,1.781557222083079,1.0,0.0,20,0,170.0,3400,1.5228980520499988,1.5228980520499988,36016.2325474907,3.861854215641418e-14,0
17,random_full,20,0.9772727272727273,0.9454545454545455,1.0,1.2006647788186207,0.9833333333333332,0.006060606060606061,17,0,120.0,2400,1.1183042960500025,1.1183042960500025,36124.51997645508,3.9783437318353144e-14,0
23,unmodified,20,0.8533333333333333,0.7133333333333333,0.9666666666666666,0.6946436090373719,0.84375,-0.009583333333333333,13,1,60.0,1200,,,66544.04786374567,7.326378901580201e-14,0
23,bank,20,1.0,1.0,1.0,2.2510253563969504,1.0,0.0,20,0,261.0,5220,1.0346133090500005,4.1939116267,66436.08333618376,7.573169537213236e-14,0
23,random_probe,20,1.0,1.0,1.0,1.891058475369822,1.0,0.0,20,0,258.0,5160,3.955842584849994,3.955842584849994,66436.08333618376,7.216298876875317e-14,0
23,greedy_probe,20,1.0,1.0,1.0,2.010863973726324,1.0,0.0,20,0,258.0,5160,3.9601427797000057,3.9601427797000057,66436.08333618376,7.573169537213236e-14,0
23,random_full,20,1.0,1.0,1.0,1.3955855642994703,1.0,0.0,20,0,240.0,4800,3.733138336950006,3.733138336950006,66670.9719570871,7.493915470950637e-14,0
