p,seed,method,chosen_code,test_acc,test_correct,test_n,test_normalized_margin,test_mean_margin,test_mse,validation_acc,validation_normalized_margin,validation_test_gap,online_fits,charged_fits,online_updates,unique_candidates,online_seconds,charged_seconds,peak_cuda_allocated_bytes,final_kernel_condition,relative_solve_residual,near_top_ties_relative_1e8,source
17,2000,bank,123,1.0,11,11,2.349994861706021,0.001954186898629609,0.055146867572661476,1.0,2.326917555212902,0.0,60,171.0,59,1,0.5806502479999978,1.6120615690499978,15569408,35522.881726975254,3.3305153407307793e-14,0,runs/p17-s2000-bank/selected.npz
17,2000,greedy_probe,65,1.0,11,11,2.285476690683832,0.002002981397830879,0.05514045808364573,1.0,2.201067896700703,0.0,170,170,159,11,1.4796317879999918,1.4796317879999918,21959168,35494.60022577246,3.266267511094742e-14,0,runs/p17-s2000-greedy_probe/selected.npz
17,2000,random_full,1,1.0,11,11,2.0599787772487788,0.0018002617989506429,0.05515019867775092,1.0,1.7848665174742682,0.0,120,120,118,2,1.0591825000000057,1.0591825000000057,16208384,35520.044242437885,3.514563921671233e-14,0,runs/p17-s2000-random_full/selected.npz
17,2000,unmodified,0,1.0,11,11,1.77622818911799,0.0015335506386322314,0.05516631965597809,1.0,1.5933050788199534,0.0,60,60,59,1,,,,35523.012973315475,3.694393286185458e-14,0,runs/p17-s2000-random_full/unmodified.npz
17,2000,random_probe,4,1.0,11,11,2.2669042759796585,0.0019818912258172017,0.05513231775607414,1.0,2.04914531056192,0.0,170,170,159,11,1.466730394999999,1.466730394999999,21959168,35522.84762225931,3.450202039782818e-14,0,runs/p17-s2000-random_probe/selected.npz
17,2001,bank,16,1.0,11,11,2.1171249224860516,0.0008443633970588462,0.05532425242383907,1.0,2.1779654665884784,0.0,60,171.0,59,1,0.5300565430000006,1.5614678640500006,15569408,35381.933160912144,3.861854215641418e-14,0,runs/p17-s2001-bank/selected.npz
17,2001,greedy_probe,16,1.0,11,11,2.1171249224860516,0.0008443633970588462,0.05532425242383907,1.0,2.1779654665884784,0.0,170,170,159,11,1.4698328869999955,1.4698328869999955,21959168,35381.933160912144,3.861854215641418e-14,0,runs/p17-s2001-greedy_probe/selected.npz
17,2001,random_full,0,1.0,11,11,1.9969672376597332,0.0008072461557835693,0.05532634967839418,1.0,1.9842354786201934,0.0,120,120,118,2,1.0923675099999883,1.0923675099999883,16208384,35384.8713033097,3.491084891807512e-14,0,runs/p17-s2001-random_full/selected.npz
17,2001,unmodified,0,1.0,11,11,1.9969672376597332,0.0008072461557835693,0.05532634967839418,1.0,1.9842354786201934,0.0,60,60,59,1,,,,35384.8713033097,3.491084891807512e-14,0,runs/p17-s2001-random_full/unmodified.npz
17,2001,random_probe,0,1.0,11,11,1.9969672376597332,0.0008072461557835693,0.05532634967839418,1.0,1.9842354786201934,0.0,170,170,159,11,1.4958704740000002,1.4958704740000002,21959168,35384.8713033097,3.491084891807512e-14,0,runs/p17-s2001-random_probe/selected.npz
