phase,p,name,variant,view,anchor,horizon,rtol,sequences,eligible,unique_leaders,displaced,displaced_at_final,first_displaced_step,latest_first_displaced_step
boundary,17,p17_s100_bw15,bw15,point,0,59,1e-08,17,17,17,16,15,1,6
boundary,17,p17_s100_bw15,bw15,point,1,59,1e-08,17,17,17,15,14,2,6
boundary,17,p17_s100_bw15,bw15,point,2,59,1e-08,17,17,17,14,13,3,6
boundary,17,p17_s100_bw15,bw15,point,3,59,1e-08,17,17,17,12,11,4,6
boundary,17,p17_s100_bw15,bw15,point,5,59,1e-08,17,17,17,11,11,6,10
boundary,17,p17_s100_bw15,bw15,point,10,59,1e-08,17,17,17,1,1,11,11
boundary,17,p17_s100_bw15,bw15,point,15,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw15,bw15,point,20,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw15,bw15,point,30,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw15,bw15,point,40,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw15,bw15,point,50,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw15,bw15,point,55,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw15,bw15,point,59,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw15,bw15,profile,0,59,1e-08,1,1,1,1,1,1,1
boundary,17,p17_s100_bw15,bw15,profile,1,59,1e-08,1,1,1,1,1,4,4
boundary,17,p17_s100_bw15,bw15,profile,2,59,1e-08,1,1,1,1,1,4,4
boundary,17,p17_s100_bw15,bw15,profile,3,59,1e-08,1,1,1,1,1,4,4
boundary,17,p17_s100_bw15,bw15,profile,5,59,1e-08,1,1,1,1,1,11,11
boundary,17,p17_s100_bw15,bw15,profile,10,59,1e-08,1,1,1,1,1,11,11
boundary,17,p17_s100_bw15,bw15,profile,15,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw15,bw15,profile,20,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw15,bw15,profile,30,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw15,bw15,profile,40,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw15,bw15,profile,50,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw15,bw15,profile,55,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw15,bw15,profile,59,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw20,bw20,point,0,59,1e-08,17,17,17,16,15,1,6
boundary,17,p17_s100_bw20,bw20,point,1,59,1e-08,17,17,17,16,15,2,9
boundary,17,p17_s100_bw20,bw20,point,2,59,1e-08,17,17,17,15,14,3,9
boundary,17,p17_s100_bw20,bw20,point,3,59,1e-08,17,17,17,13,13,4,9
boundary,17,p17_s100_bw20,bw20,point,5,59,1e-08,17,17,17,13,13,6,11
boundary,17,p17_s100_bw20,bw20,point,10,59,1e-08,17,17,17,1,1,11,11
boundary,17,p17_s100_bw20,bw20,point,15,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw20,bw20,point,20,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw20,bw20,point,30,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw20,bw20,point,40,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw20,bw20,point,50,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw20,bw20,point,55,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw20,bw20,point,59,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw20,bw20,profile,0,59,1e-08,1,1,1,1,1,1,1
boundary,17,p17_s100_bw20,bw20,profile,1,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_bw20,bw20,profile,2,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_bw20,bw20,profile,3,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_bw20,bw20,profile,5,59,1e-08,1,1,1,1,1,6,6
boundary,17,p17_s100_bw20,bw20,profile,10,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw20,bw20,profile,15,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw20,bw20,profile,20,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw20,bw20,profile,30,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw20,bw20,profile,40,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw20,bw20,profile,50,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw20,bw20,profile,55,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw20,bw20,profile,59,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw30,bw30,point,0,59,1e-08,17,17,17,17,17,1,9
boundary,17,p17_s100_bw30,bw30,point,1,59,1e-08,17,17,17,17,17,2,9
boundary,17,p17_s100_bw30,bw30,point,2,59,1e-08,17,17,17,17,16,3,9
boundary,17,p17_s100_bw30,bw30,point,3,59,1e-08,17,17,17,16,15,4,10
boundary,17,p17_s100_bw30,bw30,point,5,59,1e-08,17,17,17,16,16,6,10
boundary,17,p17_s100_bw30,bw30,point,10,59,1e-08,17,17,17,1,1,11,11
boundary,17,p17_s100_bw30,bw30,point,15,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw30,bw30,point,20,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw30,bw30,point,30,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw30,bw30,point,40,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw30,bw30,point,50,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw30,bw30,point,55,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw30,bw30,point,59,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_bw30,bw30,profile,0,59,1e-08,1,1,1,1,1,1,1
boundary,17,p17_s100_bw30,bw30,profile,1,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_bw30,bw30,profile,2,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_bw30,bw30,profile,3,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_bw30,bw30,profile,5,59,1e-08,1,1,1,1,1,6,6
boundary,17,p17_s100_bw30,bw30,profile,10,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw30,bw30,profile,15,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw30,bw30,profile,20,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw30,bw30,profile,30,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw30,bw30,profile,40,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw30,bw30,profile,50,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw30,bw30,profile,55,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_bw30,bw30,profile,59,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps001,eps001,point,0,59,1e-08,17,17,17,17,16,1,11
boundary,17,p17_s100_eps001,eps001,point,1,59,1e-08,17,17,16,17,16,2,11
boundary,17,p17_s100_eps001,eps001,point,2,59,1e-08,17,17,17,16,15,3,11
boundary,17,p17_s100_eps001,eps001,point,3,59,1e-08,17,17,17,14,14,4,11
boundary,17,p17_s100_eps001,eps001,point,5,59,1e-08,17,17,17,14,14,6,11
boundary,17,p17_s100_eps001,eps001,point,10,59,1e-08,17,17,17,8,8,11,12
boundary,17,p17_s100_eps001,eps001,point,15,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps001,eps001,point,20,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps001,eps001,point,30,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps001,eps001,point,40,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps001,eps001,point,50,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps001,eps001,point,55,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps001,eps001,point,59,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps001,eps001,profile,0,59,1e-08,1,1,1,1,1,1,1
boundary,17,p17_s100_eps001,eps001,profile,1,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_eps001,eps001,profile,2,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_eps001,eps001,profile,3,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_eps001,eps001,profile,5,59,1e-08,1,1,1,1,1,6,6
boundary,17,p17_s100_eps001,eps001,profile,10,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps001,eps001,profile,15,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps001,eps001,profile,20,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps001,eps001,profile,30,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps001,eps001,profile,40,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps001,eps001,profile,50,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps001,eps001,profile,55,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps001,eps001,profile,59,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps03,eps03,point,0,59,1e-08,17,17,17,17,17,1,8
boundary,17,p17_s100_eps03,eps03,point,1,59,1e-08,17,17,17,17,17,2,8
boundary,17,p17_s100_eps03,eps03,point,2,59,1e-08,17,17,17,16,16,3,8
boundary,17,p17_s100_eps03,eps03,point,3,59,1e-08,17,17,17,16,16,4,8
boundary,17,p17_s100_eps03,eps03,point,5,59,1e-08,17,17,17,16,16,6,8
boundary,17,p17_s100_eps03,eps03,point,10,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps03,eps03,point,15,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps03,eps03,point,20,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps03,eps03,point,30,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps03,eps03,point,40,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps03,eps03,point,50,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps03,eps03,point,55,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps03,eps03,point,59,59,1e-08,17,17,17,0,0,,
boundary,17,p17_s100_eps03,eps03,profile,0,59,1e-08,1,1,1,1,1,1,1
boundary,17,p17_s100_eps03,eps03,profile,1,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_eps03,eps03,profile,2,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_eps03,eps03,profile,3,59,1e-08,1,1,1,1,1,5,5
boundary,17,p17_s100_eps03,eps03,profile,5,59,1e-08,1,1,1,1,1,6,6
boundary,17,p17_s100_eps03,eps03,profile,10,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps03,eps03,profile,15,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps03,eps03,profile,20,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps03,eps03,profile,30,59,1e-08,1,1,1,0,0,,
boundary,17,p17_s100_eps03,eps03,profile,40,59,1e-08,1,1,1,0,0,,
