phase,p,view,anchor,horizon,rtol,runs,runs_with_eligible_leader,runs_with_displacement,runs_displaced_at_final,sequences,eligible_sequences,displaced_sequences,mean_within_run_displaced_fraction
boundary,17,point,0,59,1e-08,80,80,80,80,1360,1360,1334,0.9808823529411764
boundary,17,point,1,59,1e-08,80,80,80,80,1360,1360,1295,0.9522058823529413
boundary,17,point,2,59,1e-08,80,80,80,80,1360,1360,1270,0.9338235294117648
boundary,17,point,3,59,1e-08,80,80,80,80,1360,1360,1190,0.875
boundary,17,point,5,59,1e-08,80,80,80,80,1360,1360,1070,0.7867647058823529
boundary,17,point,10,59,1e-08,80,80,33,33,1360,1360,173,0.1272058823529412
boundary,17,point,15,59,1e-08,80,80,2,2,1360,1360,7,0.005147058823529412
boundary,17,point,20,59,1e-08,80,80,0,0,1360,1360,0,0.0
boundary,17,point,30,59,1e-08,80,80,0,0,1360,1360,0,0.0
boundary,17,point,40,59,1e-08,80,80,0,0,1360,1360,0,0.0
boundary,17,point,50,59,1e-08,80,80,0,0,1360,1360,0,0.0
boundary,17,point,55,59,1e-08,80,80,0,0,1360,1360,0,0.0
boundary,17,point,59,59,1e-08,80,80,0,0,1360,1360,0,0.0
boundary,17,profile,0,59,1e-08,80,80,74,72,80,80,74,0.925
boundary,17,profile,1,59,1e-08,80,80,64,55,80,80,64,0.8
boundary,17,profile,2,59,1e-08,80,80,64,56,80,80,64,0.8
boundary,17,profile,3,59,1e-08,80,80,64,60,80,80,64,0.8
boundary,17,profile,5,59,1e-08,80,80,57,54,80,80,57,0.7125
boundary,17,profile,10,59,1e-08,80,80,11,11,80,80,11,0.1375
boundary,17,profile,15,59,1e-08,80,80,1,1,80,80,1,0.0125
boundary,17,profile,20,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,17,profile,30,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,17,profile,40,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,17,profile,50,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,17,profile,55,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,17,profile,59,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,23,point,0,59,1e-08,80,80,80,80,1840,1840,1819,0.9885869565217391
boundary,23,point,1,59,1e-08,80,80,80,80,1840,1840,1810,0.9836956521739129
boundary,23,point,2,59,1e-08,80,80,80,80,1840,1840,1769,0.961413043478261
boundary,23,point,3,59,1e-08,80,80,80,80,1840,1840,1701,0.9244565217391303
boundary,23,point,5,59,1e-08,80,80,80,80,1840,1840,1565,0.8505434782608695
boundary,23,point,10,59,1e-08,80,80,35,35,1840,1840,365,0.1983695652173913
boundary,23,point,15,59,1e-08,80,80,0,0,1840,1840,0,0.0
boundary,23,point,20,59,1e-08,80,80,0,0,1840,1840,0,0.0
boundary,23,point,30,59,1e-08,80,80,0,0,1840,1840,0,0.0
boundary,23,point,40,59,1e-08,80,80,0,0,1840,1840,0,0.0
boundary,23,point,50,59,1e-08,80,80,0,0,1840,1840,0,0.0
boundary,23,point,55,59,1e-08,80,80,0,0,1840,1840,0,0.0
boundary,23,point,59,59,1e-08,80,80,0,0,1840,1840,0,0.0
boundary,23,profile,0,59,1e-08,80,80,76,76,80,80,76,0.95
boundary,23,profile,1,59,1e-08,80,80,76,76,80,80,76,0.95
boundary,23,profile,2,59,1e-08,80,80,74,73,80,80,74,0.925
boundary,23,profile,3,59,1e-08,80,80,74,73,80,80,74,0.925
boundary,23,profile,5,59,1e-08,80,80,66,64,80,80,66,0.825
boundary,23,profile,10,59,1e-08,80,80,17,17,80,80,17,0.2125
boundary,23,profile,15,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,23,profile,20,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,23,profile,30,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,23,profile,40,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,23,profile,50,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,23,profile,55,59,1e-08,80,80,0,0,80,80,0,0.0
boundary,23,profile,59,59,1e-08,80,80,0,0,80,80,0,0.0
confirmation,17,point,0,59,1e-08,50,50,50,50,850,850,845,0.9941176470588234
confirmation,17,point,1,59,1e-08,50,50,50,50,850,850,840,0.9882352941176471
confirmation,17,point,2,59,1e-08,50,50,50,50,850,850,830,0.9764705882352941
confirmation,17,point,3,59,1e-08,50,50,50,50,850,850,803,0.9447058823529412
confirmation,17,point,5,59,1e-08,50,50,50,50,850,850,772,0.9082352941176471
confirmation,17,point,10,59,1e-08,50,50,1,1,850,850,1,0.001176470588235294
confirmation,17,point,15,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,20,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,30,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,40,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,50,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,55,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,59,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,profile,0,59,1e-08,50,50,49,49,50,50,49,0.98
confirmation,17,profile,1,59,1e-08,50,50,47,46,50,50,47,0.94
confirmation,17,profile,2,59,1e-08,50,50,47,46,50,50,47,0.94
confirmation,17,profile,3,59,1e-08,50,50,46,46,50,50,46,0.92
confirmation,17,profile,5,59,1e-08,50,50,45,45,50,50,45,0.9
confirmation,17,profile,10,59,1e-08,50,50,0,0,50,50,0,0.0
confirmation,17,profile,15,59,1e-08,50,50,0,0,50,50,0,0.0
confirmation,17,profile,20,59,1e-08,50,50,0,0,50,50,0,0.0
confirmation,17,profile,30,59,1e-08,50,50,0,0,50,50,0,0.0
confirmation,17,profile,40,59,1e-08,50,50,0,0,50,50,0,0.0
confirmation,17,profile,50,59,1e-08,50,50,0,0,50,50,0,0.0
confirmation,17,profile,55,59,1e-08,50,50,0,0,50,50,0,0.0
confirmation,17,profile,59,59,1e-08,50,50,0,0,50,50,0,0.0
confirmation,23,point,0,59,1e-08,30,30,30,30,690,690,686,0.9942028985507245
confirmation,23,point,1,59,1e-08,30,30,30,30,690,690,685,0.9927536231884058
confirmation,23,point,2,59,1e-08,30,30,30,30,690,690,679,0.9840579710144927
confirmation,23,point,3,59,1e-08,30,30,30,30,690,690,669,0.9695652173913043
confirmation,23,point,5,59,1e-08,30,30,30,30,690,690,642,0.9304347826086956
confirmation,23,point,10,59,1e-08,30,30,4,4,690,690,6,0.008695652173913044
confirmation,23,point,15,59,1e-08,30,30,0,0,690,690,0,0.0
confirmation,23,point,20,59,1e-08,30,30,0,0,690,690,0,0.0
confirmation,23,point,30,59,1e-08,30,30,0,0,690,690,0,0.0
confirmation,23,point,40,59,1e-08,30,30,0,0,690,690,0,0.0
confirmation,23,point,50,59,1e-08,30,30,0,0,690,690,0,0.0
confirmation,23,point,55,59,1e-08,30,30,0,0,690,690,0,0.0
confirmation,23,point,59,59,1e-08,30,30,0,0,690,690,0,0.0
confirmation,23,profile,0,59,1e-08,30,30,30,30,30,30,30,1.0
confirmation,23,profile,1,59,1e-08,30,30,30,30,30,30,30,1.0
confirmation,23,profile,2,59,1e-08,30,30,30,30,30,30,30,1.0
confirmation,23,profile,3,59,1e-08,30,30,30,30,30,30,30,1.0
confirmation,23,profile,5,59,1e-08,30,30,28,28,30,30,28,0.9333333333333333
confirmation,23,profile,10,59,1e-08,30,30,0,0,30,30,0,0.0
confirmation,23,profile,15,59,1e-08,30,30,0,0,30,30,0,0.0
confirmation,23,profile,20,59,1e-08,30,30,0,0,30,30,0,0.0
confirmation,23,profile,30,59,1e-08,30,30,0,0,30,30,0,0.0
confirmation,23,profile,40,59,1e-08,30,30,0,0,30,30,0,0.0
confirmation,23,profile,50,59,1e-08,30,30,0,0,30,30,0,0.0
