name,p,test_a,initial_state,final_state,ever_correct,ever_ambiguous,wrong_to_correct,correct_to_wrong,correctness_flips,first_correct_step
p17_s100_cross,17,0,-1,1,1,0,1,0,1,9
p17_s100_cross,17,1,-1,1,1,0,1,0,1,9
p17_s100_cross,17,2,-1,-1,0,0,0,0,0,
p17_s100_cross,17,3,-1,1,1,0,1,0,1,9
p17_s100_cross,17,4,-1,-1,0,0,0,0,0,
p17_s100_cross,17,5,-1,1,1,0,1,0,1,10
p17_s100_cross,17,6,-1,-1,0,0,0,0,0,
p17_s100_cross,17,7,-1,1,1,0,1,0,1,9
p17_s100_cross,17,8,-1,1,1,0,1,0,1,9
p17_s100_cross,17,9,-1,1,1,0,1,0,1,10
p17_s100_cross,17,10,-1,1,1,0,1,0,1,9
p17_s100_cross,17,11,-1,-1,0,0,0,0,0,
p17_s100_cross,17,12,-1,1,1,0,1,0,1,10
p17_s100_cross,17,13,-1,1,1,0,1,0,1,10
p17_s100_cross,17,14,-1,1,1,0,1,0,1,9
p17_s100_cross,17,15,-1,-1,0,0,0,0,0,
p17_s100_cross,17,16,-1,1,1,0,1,0,1,9
p17_s101_cross,17,0,-1,1,1,0,1,0,1,8
p17_s101_cross,17,1,-1,1,1,0,1,0,1,8
p17_s101_cross,17,2,-1,1,1,0,1,0,1,8
p17_s101_cross,17,3,-1,1,1,0,1,0,1,8
p17_s101_cross,17,4,-1,1,1,0,1,0,1,8
p17_s101_cross,17,5,-1,1,1,0,1,0,1,8
p17_s101_cross,17,6,-1,1,1,0,1,0,1,8
p17_s101_cross,17,7,-1,1,1,0,1,0,1,8
p17_s101_cross,17,8,-1,1,1,0,1,0,1,8
p17_s101_cross,17,9,-1,1,1,0,1,0,1,8
p17_s101_cross,17,10,-1,1,1,0,1,0,1,8
p17_s101_cross,17,11,-1,1,1,0,1,0,1,8
p17_s101_cross,17,12,-1,1,1,0,1,0,1,8
p17_s101_cross,17,13,-1,1,1,0,1,0,1,8
p17_s101_cross,17,14,-1,1,1,0,1,0,1,8
p17_s101_cross,17,15,-1,1,1,0,1,0,1,8
p17_s101_cross,17,16,-1,1,1,0,1,0,1,8
p17_s102_cross,17,0,-1,1,1,0,1,0,1,9
p17_s102_cross,17,1,-1,1,1,0,1,0,1,9
p17_s102_cross,17,2,-1,1,1,0,1,0,1,9
p17_s102_cross,17,3,-1,1,1,0,1,0,1,9
p17_s102_cross,17,4,-1,1,1,0,1,0,1,9
p17_s102_cross,17,5,-1,1,1,0,1,0,1,9
p17_s102_cross,17,6,-1,1,1,0,1,0,1,9
p17_s102_cross,17,7,-1,1,1,0,1,0,1,9
p17_s102_cross,17,8,-1,1,1,0,1,0,1,9
p17_s102_cross,17,9,-1,1,1,0,1,0,1,9
p17_s102_cross,17,10,-1,1,1,0,1,0,1,9
p17_s102_cross,17,11,-1,1,1,0,1,0,1,9
p17_s102_cross,17,12,-1,1,1,0,1,0,1,9
p17_s102_cross,17,13,-1,1,1,0,1,0,1,9
p17_s102_cross,17,14,-1,1,1,0,1,0,1,9
p17_s102_cross,17,15,-1,1,1,0,1,0,1,9
p17_s102_cross,17,16,-1,1,1,0,1,0,1,9
p17_s103_cross,17,0,-1,-1,0,0,0,0,0,
p17_s103_cross,17,1,-1,-1,0,0,0,0,0,
p17_s103_cross,17,2,-1,-1,0,0,0,0,0,
p17_s103_cross,17,3,-1,-1,0,0,0,0,0,
p17_s103_cross,17,4,-1,1,1,0,1,0,1,9
p17_s103_cross,17,5,-1,-1,0,0,0,0,0,
p17_s103_cross,17,6,-1,-1,0,0,0,0,0,
p17_s103_cross,17,7,-1,-1,0,0,0,0,0,
p17_s103_cross,17,8,-1,-1,0,0,0,0,0,
p17_s103_cross,17,9,-1,-1,0,0,0,0,0,
p17_s103_cross,17,10,-1,-1,0,0,0,0,0,
p17_s103_cross,17,11,-1,1,1,0,1,0,1,10
p17_s103_cross,17,12,-1,-1,0,0,0,0,0,
p17_s103_cross,17,13,-1,-1,0,0,0,0,0,
p17_s103_cross,17,14,-1,-1,0,0,0,0,0,
p17_s103_cross,17,15,-1,-1,0,0,0,0,0,
p17_s103_cross,17,16,-1,-1,0,0,0,0,0,
p17_s104_cross,17,0,-1,1,1,0,1,0,1,9
p17_s104_cross,17,1,-1,1,1,0,1,0,1,9
p17_s104_cross,17,2,-1,1,1,0,1,0,1,8
