phase,p,view,event,step,count
boundary,17,point,correct_to_wrong,8,3
boundary,17,point,leader_group_replaced,1,569
boundary,17,point,leader_group_replaced,2,433
boundary,17,point,leader_group_replaced,3,401
boundary,17,point,leader_group_replaced,4,355
boundary,17,point,leader_group_replaced,5,413
boundary,17,point,leader_group_replaced,6,419
boundary,17,point,leader_group_replaced,7,405
boundary,17,point,leader_group_replaced,8,223
boundary,17,point,leader_group_replaced,9,179
boundary,17,point,leader_group_replaced,10,241
boundary,17,point,leader_group_replaced,11,107
boundary,17,point,leader_group_replaced,12,21
boundary,17,point,leader_group_replaced,13,15
boundary,17,point,leader_group_replaced,14,18
boundary,17,point,leader_group_replaced,15,6
boundary,17,point,leader_group_replaced,16,1
boundary,17,point,leader_group_replaced,17,3
boundary,17,point,leader_group_replaced,18,3
boundary,17,point,wrong_to_correct,6,23
boundary,17,point,wrong_to_correct,7,60
boundary,17,point,wrong_to_correct,8,136
boundary,17,point,wrong_to_correct,9,139
boundary,17,point,wrong_to_correct,10,207
boundary,17,point,wrong_to_correct,11,101
boundary,17,point,wrong_to_correct,12,16
boundary,17,point,wrong_to_correct,13,15
boundary,17,point,wrong_to_correct,14,15
boundary,17,point,wrong_to_correct,15,6
boundary,17,point,wrong_to_correct,16,1
boundary,17,point,wrong_to_correct,17,3
boundary,17,point,wrong_to_correct,18,3
boundary,17,profile,leader_group_replaced,1,68
boundary,17,profile,leader_group_replaced,2,24
boundary,17,profile,leader_group_replaced,3,14
boundary,17,profile,leader_group_replaced,4,12
boundary,17,profile,leader_group_replaced,5,19
boundary,17,profile,leader_group_replaced,6,31
boundary,17,profile,leader_group_replaced,7,19
boundary,17,profile,leader_group_replaced,8,9
boundary,17,profile,leader_group_replaced,9,10
boundary,17,profile,leader_group_replaced,10,14
boundary,17,profile,leader_group_replaced,11,7
boundary,17,profile,leader_group_replaced,13,2
boundary,17,profile,leader_group_replaced,14,1
boundary,17,profile,leader_group_replaced,16,1
boundary,17,profile,wrong_to_correct,6,2
