phase,name,p,seed,variant,view,test_a,truth,rtol,event,previous_step,step,old_classes,new_classes,previous_margin,current_margin,previous_tolerance,current_tolerance,current_normalized_margin
discovery,p17_s20_cross,17,20,cross,point,0,0,1e-08,leader_group_replaced,1,2,3,9,9.806289632680043e-07,-3.638580323579721e-05,3.103283200891833e-10,3.0964134589926426e-10,-0.001175095113029079
discovery,p17_s20_cross,17,20,cross,point,0,0,1e-08,leader_group_replaced,3,4,9,13,9.998928855170508e-07,-9.527859485092272e-05,3.069764484706792e-10,2.955963787021027e-10,-0.003223266647219077
discovery,p17_s20_cross,17,20,cross,point,1,2,1e-08,leader_group_replaced,0,1,13,6,9.881529929686717e-06,-4.1622936563651125e-06,3.101496823473866e-10,3.104380027066184e-10,-0.0001340780967560443
discovery,p17_s20_cross,17,20,cross,point,2,4,1e-08,leader_group_replaced,0,1,10,12,2.0198022235989876e-06,-1.43888801263925e-05,3.1020033755630947e-10,3.104912490622258e-10,-0.00046342304879287634
discovery,p17_s20_cross,17,20,cross,point,2,4,1e-08,leader_group_replaced,3,4,12,0,1.2690826082448203e-05,-9.258034760584177e-05,3.07255285391351e-10,2.9599398553779266e-10,-0.0031277779998682125
discovery,p17_s20_cross,17,20,cross,point,3,6,1e-08,leader_group_replaced,0,1,1,10,2.2734277365973887e-05,-1.0760708512955186e-05,3.1009230762035116e-10,3.103472260335683e-10,-0.00034673126131925754
discovery,p17_s20_cross,17,20,cross,point,4,8,1e-08,leader_group_replaced,0,1,6,12,7.755007449636309e-06,-1.371737535763029e-05,3.101178145571209e-10,3.1036801787196083e-10,-0.00044197129110413867
discovery,p17_s20_cross,17,20,cross,point,5,10,1e-08,leader_group_replaced,2,3,0,14,5.616459847590516e-06,-0.00010165036631804014,3.0978740996596903e-10,3.071399602384119e-10,-0.003309578025572962
discovery,p17_s20_cross,17,20,cross,point,5,10,1e-08,leader_group_replaced,5,6,14,6,8.559998345723796e-05,-5.581345560205786e-05,2.4795635203747423e-10,1.1608353758561446e-10,-0.004808042273943802
discovery,p17_s20_cross,17,20,cross,point,6,12,1e-08,leader_group_replaced,1,2,0,8,5.1912504017564975e-06,-2.1619831344688034e-05,3.102904511201624e-10,3.0957951717280375e-10,-0.0006983611687920584
discovery,p17_s20_cross,17,20,cross,point,7,14,1e-08,leader_group_replaced,2,3,7,1,1.7228993841128526e-05,-6.809512408313678e-05,3.0975065158888734e-10,3.072947101330472e-10,-0.002215954972139095
discovery,p17_s20_cross,17,20,cross,point,7,14,1e-08,leader_group_replaced,6,7,1,10,0.00010893855520244244,-2.3328075202638798e-05,1.1799094711632063e-10,1.973795848118581e-11,-0.011818889590265924
discovery,p17_s20_cross,17,20,cross,point,8,16,1e-08,leader_group_replaced,0,1,0,11,1.5249518359461423e-06,-7.175442298487655e-06,3.1031971190164456e-10,3.106193466392636e-10,-0.00023100435874719752
discovery,p17_s20_cross,17,20,cross,point,8,16,1e-08,leader_group_replaced,2,3,11,3,1.299858076805882e-05,-3.832343986921727e-05,3.0998833836315306e-10,3.074163392318379e-10,-0.0012466298949814656
discovery,p17_s20_cross,17,20,cross,point,8,16,1e-08,leader_group_replaced,6,7,3,12,5.141339049080651e-05,-2.8329015564432236e-05,1.167868010534781e-10,1.922567907296529e-11,-0.0147349882711128
discovery,p17_s20_cross,17,20,cross,point,9,1,1e-08,leader_group_replaced,0,1,3,7,4.713946536727409e-07,-9.005046282997697e-06,3.101145599507183e-10,3.103775729724638e-10,-0.00029013198978125295
discovery,p17_s20_cross,17,20,cross,point,9,1,1e-08,leader_group_replaced,2,3,7,14,5.001932314133151e-06,-0.00010050764721823702,3.096879182657554e-10,3.070055601497479e-10,-0.00327380543756968
discovery,p17_s20_cross,17,20,cross,point,9,1,1e-08,leader_group_replaced,4,5,14,5,4.3569671295165535e-05,-6.077930742413862e-05,2.9556905948185194e-10,2.476353381279657e-10,-0.0024543874829662184
discovery,p17_s20_cross,17,20,cross,point,10,3,1e-08,leader_group_replaced,1,2,14,16,6.127454894908069e-06,-2.4780393681880786e-05,3.103458656028987e-10,3.0965917415608613e-10,-0.0008002473606478726
discovery,p17_s20_cross,17,20,cross,point,11,5,1e-08,leader_group_replaced,0,1,7,13,3.834153848719657e-07,-7.110483598957162e-06,3.1019859618278946e-10,3.1048950256677895e-10,-0.00022900882445865835
