example,phase,name,p,test_a,truth,step,raw_argmax,correct_score,best_wrong_score,margin,rms,tolerance,normalized_margin
1,confirmation,p17_s111_cross,17,13,9,0,6,-0.06521322639228577,0.06660872246032998,-0.13182194885261575,0.031007597258742883,3.1007597258742883e-10,-4.251279057600869
1,confirmation,p17_s111_cross,17,13,9,1,6,-0.06506872864828288,0.0668745029901814,-0.13194323163846428,0.03103632003517295,3.103632003517295e-10,-4.251252451609443
1,confirmation,p17_s111_cross,17,13,9,2,6,-0.06431794981933693,0.06736308995653396,-0.1316810397758709,0.030975301242807927,3.0975301242807925e-10,-4.25116252280018
1,confirmation,p17_s111_cross,17,13,9,3,15,-0.06237277612625693,0.06828957800061668,-0.1306623541268736,0.030730502719856525,3.073050271985653e-10,-4.251878184942483
1,confirmation,p17_s111_cross,17,13,9,4,15,-0.05631996394393395,0.06985769057494301,-0.12617765451887697,0.02965755279610789,2.965755279610789e-10,-4.2544863828223844
1,confirmation,p17_s111_cross,17,13,9,5,13,-0.035261137789981585,0.07152635514427641,-0.10678749293425799,0.02505696493679691,2.5056964936796906e-10,-4.261788816148173
1,confirmation,p17_s111_cross,17,13,9,6,13,0.019269987464492766,0.07084187993413545,-0.05157189246964268,0.012026106571008544,1.2026106571008544e-10,-4.288328243653483
1,confirmation,p17_s111_cross,17,13,9,7,3,0.061011210076936,0.06940509876321718,-0.00839388868628118,0.0018581116698667955,1.8581116698667955e-11,-4.517429615456278
1,confirmation,p17_s111_cross,17,13,9,8,3,0.06820626248988654,0.06908130946894485,-0.000875046979058311,0.00040320709665126755,4.032070966512676e-12,-2.1702172068046117
1,confirmation,p17_s111_cross,17,13,9,9,3,0.06893701430180435,0.06902418832803828,-8.717402623392712e-05,0.0004108837257824187,4.108837257824188e-12,-0.2121622755146298
1,confirmation,p17_s111_cross,17,13,9,10,3,0.06900783462420898,0.06901593354832927,-8.098924120292228e-06,0.00041501742427795175,4.150174242779517e-12,-0.019514660461263173
1,confirmation,p17_s111_cross,17,13,9,11,3,0.0690147701522028,0.06901485306372906,-8.29115262696023e-08,0.00041539980978002195,4.15399809780022e-12,-0.000199594521512922
1,confirmation,p17_s111_cross,17,13,9,12,9,0.06901547767425055,0.06901471480118039,7.62873070159209e-07,0.00041543444211730344,4.154344421173035e-12,0.0018363260067488618
1,confirmation,p17_s111_cross,17,13,9,13,9,0.06901551001391039,0.06901470127971045,8.08734199941874e-07,0.0004154350995880064,4.154350995880064e-12,0.0019467161073869507
1,confirmation,p17_s111_cross,17,13,9,14,9,0.06901553734488276,0.06901470041320514,8.369316776279945e-07,0.0004154377095301422,4.1543770953014225e-12,0.00201457801838586
1,confirmation,p17_s111_cross,17,13,9,15,9,0.069015521538123,0.0690146988461308,8.226919921971998e-07,0.00041543628547092005,4.1543628547092e-12,0.0019803084635821658
1,confirmation,p17_s111_cross,17,13,9,16,9,0.06901553540717344,0.06901469986611022,8.35541063212708e-07,0.0004154373422475144,4.1543734224751444e-12,0.0020112324488993556
1,confirmation,p17_s111_cross,17,13,9,17,9,0.0690155376908045,0.06901470217810642,8.355126980830185e-07,0.0004154378280726766,4.1543782807267666e-12,0.00201116181922859
1,confirmation,p17_s111_cross,17,13,9,18,9,0.0690155323664977,0.06901469554027792,8.368262197772092e-07,0.000415437387366903,4.15437387366903e-12,0.0020143257328887132
1,confirmation,p17_s111_cross,17,13,9,19,9,0.06901553725313121,0.06901470396038506,8.332927461524031e-07,0.0004154380970178883,4.154380970178883e-12,0.002005816876531
1,confirmation,p17_s111_cross,17,13,9,20,9,0.06901552892052493,0.06901470214871609,8.267718088345033e-07,0.0004154368426812918,4.154368426812918e-12,0.0019901263534991115
1,confirmation,p17_s111_cross,17,13,9,21,9,0.06901553249718413,0.06901469760375847,8.348934256580121e-07,0.0004154369718153191,4.1543697181531914e-12,0.002009675311298872
1,confirmation,p17_s111_cross,17,13,9,22,9,0.06901553085802506,0.06901470608908748,8.247689375767697e-07,0.00041543759337593617,4.154375933759362e-12,0.0019853016451268123
1,confirmation,p17_s111_cross,17,13,9,23,9,0.06901553549442448,0.06901470172436684,8.337700576344087e-07,0.000415438154011732,4.15438154011732e-12,0.0020069655364655385
