phase,p,variant,runs,horizon,point_runs_with_leader_replacements,point_events_leader_replacements,point_runs_with_correctness_flips,point_events_correctness_flips,point_runs_with_correct_to_wrong,point_events_correct_to_wrong,point_runs_with_wrong_to_correct,point_events_wrong_to_correct,point_last_leader_replacement,point_last_correctness_flip,profile_runs_with_leader_replacements,profile_events_leader_replacements,profile_runs_with_correctness_flips,profile_events_correctness_flips,profile_runs_with_correct_to_wrong,profile_events_correct_to_wrong,profile_runs_with_wrong_to_correct,profile_events_wrong_to_correct,profile_last_leader_replacement,profile_last_correctness_flip
boundary,17,bw15,10,59,10,411,7,89,0,0,7,89,12,12,9,29,6,6,0,0,6,6,11,11
boundary,17,bw20,10,59,10,458,8,95,0,0,8,95,11,11,9,29,6,6,0,0,6,6,9,9
boundary,17,bw30,10,59,10,563,10,106,0,0,10,106,11,11,10,34,6,6,0,0,6,6,9,9
boundary,17,eps001,10,59,10,518,10,102,0,0,10,102,12,12,9,32,6,6,0,0,6,6,10,10
boundary,17,eps03,10,59,10,473,10,113,1,3,10,110,11,11,9,28,6,6,0,0,6,6,8,7
boundary,17,paper,10,59,10,380,7,79,0,0,7,79,15,15,9,22,5,5,0,0,5,5,11,11
boundary,17,paper_uncentered,10,59,10,390,5,56,0,0,5,56,14,14,9,23,4,4,0,0,4,4,16,16
boundary,17,uncentered,10,59,10,619,6,88,0,0,6,88,18,18,10,34,6,6,0,0,6,6,14,14
boundary,23,bw15,10,59,10,634,8,164,0,0,8,164,12,12,9,23,8,8,0,0,8,8,11,11
boundary,23,bw20,10,59,10,684,9,188,0,0,9,188,12,12,9,22,8,8,0,0,8,8,10,10
boundary,23,bw30,10,59,10,752,9,195,0,0,9,195,11,11,10,28,9,9,0,0,9,9,10,10
boundary,23,eps001,10,59,10,731,9,191,0,0,9,191,12,12,10,25,9,9,0,0,9,9,12,12
boundary,23,eps03,10,59,10,686,10,240,2,24,10,216,10,10,10,26,10,11,1,1,10,10,8,8
boundary,23,paper,10,59,10,584,8,133,0,0,8,133,14,14,9,24,7,7,0,0,7,7,14,14
boundary,23,paper_uncentered,10,59,10,622,7,112,0,0,7,112,15,15,9,21,6,6,0,0,6,6,13,13
