p,seed,default_name,larger_name,default_demotions,larger_demotions,default_final_accuracy,larger_final_accuracy
17,100,p17_s100_cross,p17_s100_eps03,0,0,0.7058823529411765,0.9411764705882353
17,101,p17_s101_cross,p17_s101_eps03,0,0,1.0,1.0
17,102,p17_s102_cross,p17_s102_eps03,0,0,1.0,1.0
17,103,p17_s103_cross,p17_s103_eps03,0,0,0.11764705882352941,0.17647058823529413
17,104,p17_s104_cross,p17_s104_eps03,0,0,1.0,1.0
17,105,p17_s105_cross,p17_s105_eps03,0,0,0.058823529411764705,0.058823529411764705
17,106,p17_s106_cross,p17_s106_eps03,0,0,0.058823529411764705,0.058823529411764705
17,107,p17_s107_cross,p17_s107_eps03,0,3,0.058823529411764705,0.058823529411764705
17,108,p17_s108_cross,p17_s108_eps03,0,0,1.0,1.0
17,109,p17_s109_cross,p17_s109_eps03,0,0,1.0,1.0
23,100,p23_s100_cross,p23_s100_eps03,0,0,1.0,1.0
23,101,p23_s101_cross,p23_s101_eps03,0,0,1.0,1.0
23,102,p23_s102_cross,p23_s102_eps03,0,14,0.34782608695652173,0.391304347826087
23,103,p23_s103_cross,p23_s103_eps03,0,0,1.0,1.0
23,104,p23_s104_cross,p23_s104_eps03,0,0,0.9565217391304348,0.9565217391304348
23,105,p23_s105_cross,p23_s105_eps03,0,10,0.0,0.0
23,106,p23_s106_cross,p23_s106_eps03,0,0,1.0,1.0
23,107,p23_s107_cross,p23_s107_eps03,0,0,1.0,1.0
23,108,p23_s108_cross,p23_s108_eps03,0,0,1.0,1.0
23,109,p23_s109_cross,p23_s109_eps03,0,0,1.0,1.0
