name,p,view,step,sequences,eligible,unique,displaced
p17_s100_cross,17,point,0,17,17,17,17
p17_s100_cross,17,point,1,17,17,17,17
p17_s100_cross,17,point,2,17,17,17,16
p17_s100_cross,17,point,3,17,17,17,14
p17_s100_cross,17,point,4,17,17,17,14
p17_s100_cross,17,point,5,17,17,17,14
p17_s100_cross,17,point,6,17,17,17,12
p17_s100_cross,17,point,7,17,17,17,12
p17_s100_cross,17,point,8,17,17,17,12
p17_s100_cross,17,point,9,17,17,17,4
p17_s100_cross,17,point,10,17,17,17,0
p17_s100_cross,17,point,11,17,17,17,0
p17_s100_cross,17,point,12,17,17,17,0
p17_s100_cross,17,point,13,17,17,17,0
p17_s100_cross,17,point,14,17,17,17,0
p17_s100_cross,17,point,15,17,17,17,0
p17_s100_cross,17,point,16,17,17,17,0
p17_s100_cross,17,point,17,17,17,17,0
p17_s100_cross,17,point,18,17,17,17,0
p17_s100_cross,17,point,19,17,17,17,0
p17_s100_cross,17,point,20,17,17,17,0
p17_s100_cross,17,point,21,17,17,17,0
p17_s100_cross,17,point,22,17,17,17,0
p17_s100_cross,17,point,23,17,17,17,0
p17_s100_cross,17,point,24,17,17,17,0
p17_s100_cross,17,point,25,17,17,17,0
p17_s100_cross,17,point,26,17,17,17,0
p17_s100_cross,17,point,27,17,17,17,0
p17_s100_cross,17,point,28,17,17,17,0
p17_s100_cross,17,point,29,17,17,17,0
p17_s100_cross,17,point,30,17,17,17,0
p17_s100_cross,17,point,31,17,17,17,0
p17_s100_cross,17,point,32,17,17,17,0
p17_s100_cross,17,point,33,17,17,17,0
p17_s100_cross,17,point,34,17,17,17,0
p17_s100_cross,17,point,35,17,17,17,0
p17_s100_cross,17,point,36,17,17,17,0
p17_s100_cross,17,point,37,17,17,17,0
p17_s100_cross,17,point,38,17,17,17,0
p17_s100_cross,17,point,39,17,17,17,0
p17_s100_cross,17,point,40,17,17,17,0
p17_s100_cross,17,point,41,17,17,17,0
p17_s100_cross,17,point,42,17,17,17,0
p17_s100_cross,17,point,43,17,17,17,0
p17_s100_cross,17,point,44,17,17,17,0
p17_s100_cross,17,point,45,17,17,17,0
p17_s100_cross,17,point,46,17,17,17,0
p17_s100_cross,17,point,47,17,17,17,0
p17_s100_cross,17,point,48,17,17,17,0
p17_s100_cross,17,point,49,17,17,17,0
