p,view,step,runs,runs_with_displacement,sequences,displaced_sequences,eligible_sequences
17,point,0,50,50,850,845,850
17,point,1,50,50,850,840,850
17,point,2,50,50,850,830,850
17,point,3,50,50,850,803,850
17,point,4,50,50,850,785,850
17,point,5,50,50,850,772,850
17,point,6,50,50,850,747,850
17,point,7,50,50,850,676,850
17,point,8,50,39,850,385,850
17,point,9,50,18,850,40,850
17,point,10,50,1,850,1,850
17,point,11,50,1,850,1,850
17,point,12,50,0,850,0,850
17,point,13,50,0,850,0,850
17,point,14,50,0,850,0,850
17,point,15,50,0,850,0,850
17,point,16,50,0,850,0,850
17,point,17,50,0,850,0,850
17,point,18,50,0,850,0,850
17,point,19,50,0,850,0,850
17,point,20,50,0,850,0,850
17,point,21,50,0,850,0,850
17,point,22,50,0,850,0,850
17,point,23,50,0,850,0,850
17,point,24,50,0,850,0,850
17,point,25,50,0,850,0,850
17,point,26,50,0,850,0,850
17,point,27,50,0,850,0,850
17,point,28,50,0,850,0,850
17,point,29,50,0,850,0,850
17,point,30,50,0,850,0,850
17,point,31,50,0,850,0,850
17,point,32,50,0,850,0,850
17,point,33,50,0,850,0,850
17,point,34,50,0,850,0,850
17,point,35,50,0,850,0,850
17,point,36,50,0,850,0,850
17,point,37,50,0,850,0,850
17,point,38,50,0,850,0,850
17,point,39,50,0,850,0,850
17,point,40,50,0,850,0,850
17,point,41,50,0,850,0,850
17,point,42,50,0,850,0,850
17,point,43,50,0,850,0,850
17,point,44,50,0,850,0,850
17,point,45,50,0,850,0,850
17,point,46,50,0,850,0,850
17,point,47,50,0,850,0,850
17,point,48,50,0,850,0,850
17,point,49,50,0,850,0,850
17,point,50,50,0,850,0,850
17,point,51,50,0,850,0,850
17,point,52,50,0,850,0,850
17,point,53,50,0,850,0,850
17,point,54,50,0,850,0,850
17,point,55,50,0,850,0,850
17,point,56,50,0,850,0,850
17,point,57,50,0,850,0,850
17,point,58,50,0,850,0,850
17,point,59,50,0,850,0,850
17,profile,0,50,49,50,49,50
17,profile,1,50,47,50,47,50
17,profile,2,50,47,50,47,50
17,profile,3,50,46,50,46,50
17,profile,4,50,46,50,46,50
17,profile,5,50,45,50,45,50
17,profile,6,50,43,50,43,50
17,profile,7,50,41,50,41,50
17,profile,8,50,19,50,19,50
17,profile,9,50,2,50,2,50
17,profile,10,50,0,50,0,50
17,profile,11,50,0,50,0,50
17,profile,12,50,0,50,0,50
17,profile,13,50,0,50,0,50
17,profile,14,50,0,50,0,50
17,profile,15,50,0,50,0,50
17,profile,16,50,0,50,0,50
