phase,name,p,seed,variant,horizon,final_acc,point_sequences,point_raw_argmax_changes,point_any_raw_argmax_changes,point_leader_replacements,point_any_leader_replacements,point_correctness_flips,point_any_correctness_flips,point_correct_to_wrong,point_any_correct_to_wrong,point_wrong_to_correct,point_any_wrong_to_correct,point_last_leader_replacement,point_last_correctness_flip,profile_sequences,profile_raw_argmax_changes,profile_any_raw_argmax_changes,profile_leader_replacements,profile_any_leader_replacements,profile_correctness_flips,profile_any_correctness_flips,profile_correct_to_wrong,profile_any_correct_to_wrong,profile_wrong_to_correct,profile_any_wrong_to_correct,profile_last_leader_replacement,profile_last_correctness_flip
discovery,p17_none,17,0,none,59,0.0,17,944,17,0,0,0,0,0,0,0,0,,,1,56,1,0,0,0,0,0,0,0,0,,
discovery,p17_s20_circ,17,20,circ,59,0.0,17,458,17,0,0,0,0,0,0,0,0,,,1,28,1,0,0,0,0,0,0,0,0,,
discovery,p17_s20_cross,17,20,cross,59,0.0,17,31,16,31,16,0,0,0,0,0,0,7,,1,0,0,0,0,0,0,0,0,0,0,,
discovery,p17_s20_diag,17,20,diag,59,0.058823529411764705,17,46,17,46,17,1,1,0,0,1,1,11,11,1,42,1,42,1,0,0,0,0,0,0,59,
discovery,p17_s20_residual,17,20,residual,59,0.058823529411764705,17,35,14,35,14,1,1,0,0,1,1,10,10,1,3,1,3,1,0,0,0,0,0,0,9,
discovery,p17_s21_circ,17,21,circ,59,1.0,17,70,17,17,17,17,17,0,0,17,17,7,7,1,4,1,1,1,1,1,0,0,1,1,7,7
discovery,p17_s21_cross,17,21,cross,59,1.0,17,44,17,44,17,17,17,0,0,17,17,9,9,1,1,1,1,1,1,1,0,0,1,1,8,8
discovery,p17_s21_diag,17,21,diag,59,0.058823529411764705,17,46,17,46,17,1,1,0,0,1,1,11,11,1,45,1,45,1,0,0,0,0,0,0,59,
discovery,p17_s21_residual,17,21,residual,59,0.058823529411764705,17,38,16,38,16,1,1,0,0,1,1,10,10,1,3,1,3,1,0,0,0,0,0,0,9,
discovery,p17_s22_circ,17,22,circ,59,1.0,17,63,17,17,17,17,17,0,0,17,17,7,7,1,2,1,1,1,1,1,0,0,1,1,7,7
discovery,p17_s22_cross,17,22,cross,59,0.47058823529411764,17,37,16,37,16,8,8,0,0,8,8,10,10,1,2,1,2,1,1,1,0,0,1,1,9,9
discovery,p17_s22_diag,17,22,diag,59,0.058823529411764705,17,44,17,44,17,1,1,0,0,1,1,11,11,1,44,1,42,1,0,0,0,0,0,0,58,
discovery,p17_s22_residual,17,22,residual,59,0.0,17,51,17,51,17,0,0,0,0,0,0,10,,1,6,1,6,1,0,0,0,0,0,0,10,
discovery,p17_s23_circ,17,23,circ,59,0.0,17,482,17,17,17,0,0,0,0,0,0,5,,1,33,1,1,1,0,0,0,0,0,0,5,
discovery,p17_s23_cross,17,23,cross,59,0.0,17,40,16,40,16,0,0,0,0,0,0,8,,1,3,1,3,1,0,0,0,0,0,0,5,
discovery,p17_s23_diag,17,23,diag,59,0.058823529411764705,17,47,17,47,17,1,1,0,0,1,1,11,11,1,46,1,44,1,0,0,0,0,0,0,59,
discovery,p17_s23_residual,17,23,residual,59,0.058823529411764705,17,35,16,35,16,1,1,0,0,1,1,10,10,1,4,1,4,1,0,0,0,0,0,0,8,
discovery,p17_s24_circ,17,24,circ,59,1.0,17,59,17,17,17,17,17,0,0,17,17,6,6,1,5,1,1,1,1,1,0,0,1,1,6,6
discovery,p17_s24_cross,17,24,cross,59,1.0,17,58,17,58,17,17,17,0,0,17,17,9,9,1,2,1,2,1,1,1,0,0,1,1,8,8
discovery,p17_s24_diag,17,24,diag,59,0.058823529411764705,17,44,17,44,17,1,1,0,0,1,1,11,11,1,46,1,46,1,0,0,0,0,0,0,59,
discovery,p17_s24_residual,17,24,residual,59,0.0,17,50,16,50,16,0,0,0,0,0,0,10,,1,3,1,3,1,0,0,0,0,0,0,9,
discovery,p17_s30_cross,17,30,cross,59,0.058823529411764705,17,50,17,50,17,1,1,0,0,1,1,10,10,1,3,1,3,1,0,0,0,0,0,0,7,
discovery,p17_s31_cross,17,31,cross,59,0.17647058823529413,17,35,15,35,15,3,3,0,0,3,3,10,10,1,3,1,3,1,0,0,0,0,0,0,7,
discovery,p17_s32_cross,17,32,cross,59,0.47058823529411764,17,42,16,42,16,8,8,0,0,8,8,10,10,1,5,1,5,1,1,1,0,0,1,1,9,9
discovery,p17_s33_cross,17,33,cross,59,1.0,17,70,17,70,17,17,17,0,0,17,17,9,9,1,4,1,4,1,1,1,0,0,1,1,9,9
discovery,p17_s34_cross,17,34,cross,59,0.0,17,33,17,33,17,0,0,0,0,0,0,8,,1,1,1,1,1,0,0,0,0,0,0,1,
discovery,p17_s35_cross,17,35,cross,59,1.0,17,56,17,56,17,17,17,0,0,17,17,9,9,1,3,1,3,1,1,1,0,0,1,1,9,9
discovery,p17_s36_cross,17,36,cross,59,0.7647058823529411,17,49,16,49,16,13,13,0,0,13,13,10,10,1,1,1,1,1,1,1,0,0,1,1,9,9
discovery,p17_s37_cross,17,37,cross,59,1.0,17,59,17,59,17,17,17,0,0,17,17,9,9,1,2,1,2,1,1,1,0,0,1,1,9,9
discovery,p17_s38_cross,17,38,cross,59,1.0,17,57,17,57,17,17,17,0,0,17,17,9,9,1,4,1,4,1,1,1,0,0,1,1,8,8
discovery,p17_s39_cross,17,39,cross,59,1.0,17,66,17,66,17,17,17,0,0,17,17,8,8,1,4,1,4,1,1,1,0,0,1,1,8,8
discovery,p17_s40_cross,17,40,cross,59,0.0,17,45,17,45,17,0,0,0,0,0,0,8,,1,5,1,5,1,0,0,0,0,0,0,9,
discovery,p17_s41_cross,17,41,cross,59,1.0,17,63,17,63,17,17,17,0,0,17,17,8,8,1,6,1,6,1,1,1,0,0,1,1,8,8
discovery,p17_s42_cross,17,42,cross,59,0.17647058823529413,17,56,17,56,17,3,3,0,0,3,3,12,12,1,2,1,2,1,0,0,0,0,0,0,7,
discovery,p17_s43_cross,17,43,cross,59,1.0,17,58,17,58,17,17,17,0,0,17,17,8,8,1,3,1,3,1,1,1,0,0,1,1,8,8
discovery,p17_s44_cross,17,44,cross,59,1.0,17,55,17,55,17,17,17,0,0,17,17,9,9,1,4,1,4,1,1,1,0,0,1,1,8,8
discovery,p17_s45_cross,17,45,cross,59,0.8823529411764706,17,51,17,51,17,15,15,0,0,15,15,10,10,1,2,1,2,1,1,1,0,0,1,1,9,9
discovery,p17_s46_cross,17,46,cross,59,0.47058823529411764,17,64,17,64,17,8,8,0,0,8,8,10,10,1,4,1,4,1,1,1,0,0,1,1,9,9
discovery,p17_s47_cross,17,47,cross,59,0.0,17,48,17,48,17,0,0,0,0,0,0,8,,1,3,1,3,1,0,0,0,0,0,0,7,
discovery,p17_s48_cross,17,48,cross,59,0.5882352941176471,17,54,16,54,16,10,10,0,0,10,10,11,11,1,5,1,5,1,1,1,0,0,1,1,9,9
discovery,p17_s49_cross,17,49,cross,59,1.0,17,72,17,72,17,17,17,0,0,17,17,9,9,1,3,1,3,1,1,1,0,0,1,1,8,8
discovery,p17_s50_cross,17,50,cross,59,1.0,17,57,17,57,17,17,17,0,0,17,17,9,9,1,5,1,5,1,1,1,0,0,1,1,8,8
discovery,p17_s51_cross,17,51,cross,59,1.0,17,68,17,68,17,17,17,0,0,17,17,8,8,1,3,1,3,1,1,1,0,0,1,1,8,8
discovery,p17_s52_cross,17,52,cross,59,1.0,17,52,17,52,17,17,17,0,0,17,17,9,9,1,3,1,3,1,1,1,0,0,1,1,8,8
discovery,p17_s53_cross,17,53,cross,59,1.0,17,69,17,69,17,17,17,0,0,17,17,9,9,1,4,1,4,1,1,1,0,0,1,1,8,8
discovery,p17_s54_cross,17,54,cross,59,1.0,17,49,17,49,17,17,17,0,0,17,17,8,8,1,2,1,2,1,1,1,0,0,1,1,8,8
discovery,p17_s55_cross,17,55,cross,59,1.0,17,52,17,52,17,17,17,0,0,17,17,8,8,1,1,1,1,1,1,1,0,0,1,1,8,8
discovery,p17_s56_cross,17,56,cross,59,0.0,17,40,16,40,16,0,0,0,0,0,0,8,,1,1,1,1,1,0,0,0,0,0,0,8,
discovery,p17_s57_cross,17,57,cross,59,1.0,17,50,17,50,17,17,17,0,0,17,17,8,8,1,3,1,3,1,1,1,0,0,1,1,8,8
discovery,p17_s58_cross,17,58,cross,59,0.29411764705882354,17,44,17,44,17,5,5,0,0,5,5,10,10,1,2,1,2,1,0,0,0,0,0,0,5,
discovery,p17_s59_cross,17,59,cross,59,0.8235294117647058,17,48,16,48,16,14,14,0,0,14,14,10,10,1,3,1,3,1,1,1,0,0,1,1,9,9
discovery,p17_s60_cross,17,60,cross,59,0.0,17,38,17,38,17,0,0,0,0,0,0,7,,1,1,1,1,1,0,0,0,0,0,0,3,
discovery,p17_s61_cross,17,61,cross,59,1.0,17,45,17,45,17,17,17,0,0,17,17,9,9,1,2,1,2,1,1,1,0,0,1,1,9,9
discovery,p17_s62_cross,17,62,cross,59,0.11764705882352941,17,40,17,40,17,2,2,0,0,2,2,11,11,1,3,1,3,1,0,0,0,0,0,0,7,
discovery,p17_s63_cross,17,63,cross,59,0.8823529411764706,17,49,17,49,17,15,15,0,0,15,15,10,10,1,3,1,3,1,1,1,0,0,1,1,9,9
discovery,p17_s64_cross,17,64,cross,59,1.0,17,67,17,67,17,17,17,0,0,17,17,9,9,1,4,1,4,1,1,1,0,0,1,1,8,8
discovery,p17_s65_cross,17,65,cross,59,1.0,17,54,17,54,17,17,17,0,0,17,17,9,9,1,4,1,4,1,1,1,0,0,1,1,9,9
discovery,p17_s66_cross,17,66,cross,59,0.7058823529411765,17,71,17,71,17,12,12,0,0,12,12,12,12,1,5,1,5,1,1,1,0,0,1,1,9,9
discovery,p17_s67_cross,17,67,cross,59,1.0,17,49,17,49,17,17,17,0,0,17,17,10,10,1,3,1,3,1,1,1,0,0,1,1,9,9
discovery,p17_s68_cross,17,68,cross,59,1.0,17,52,17,52,17,17,17,0,0,17,17,9,9,1,2,1,2,1,1,1,0,0,1,1,8,8
discovery,p17_s69_cross,17,69,cross,59,1.0,17,79,17,79,17,17,17,0,0,17,17,8,8,1,3,1,3,1,1,1,0,0,1,1,8,8
discovery,p29_none,29,0,none,59,0.0,29,1648,29,0,0,0,0,0,0,0,0,,,1,58,1,0,0,0,0,0,0,0,0,,
discovery,p29_s20_circ,29,20,circ,59,1.0,29,94,29,29,29,29,29,0,0,29,29,6,6,1,3,1,1,1,1,1,0,0,1,1,6,6
discovery,p29_s20_cross,29,20,cross,59,1.0,29,85,29,85,29,29,29,0,0,29,29,8,8,1,3,1,3,1,1,1,0,0,1,1,8,8
discovery,p29_s20_diag,29,20,diag,59,0.034482758620689655,29,80,29,80,29,1,1,0,0,1,1,12,12,1,50,1,49,1,0,0,0,0,0,0,59,
discovery,p29_s20_residual,29,20,residual,59,0.0,29,56,25,56,25,0,0,0,0,0,0,10,,1,4,1,4,1,0,0,0,0,0,0,8,
discovery,p29_s21_circ,29,21,circ,59,1.0,29,115,29,58,29,29,29,0,0,29,29,6,6,1,4,1,2,1,1,1,0,0,1,1,6,6
discovery,p29_s21_cross,29,21,cross,59,1.0,29,101,29,101,29,29,29,0,0,29,29,9,9,1,6,1,6,1,1,1,0,0,1,1,9,9
discovery,p29_s21_diag,29,21,diag,59,0.034482758620689655,29,95,29,95,29,1,1,0,0,1,1,12,12,1,46,1,44,1,0,0,0,0,0,0,59,
discovery,p29_s21_residual,29,21,residual,59,0.0,29,60,26,60,26,0,0,0,0,0,0,10,,1,4,1,4,1,0,0,0,0,0,0,9,
discovery,p29_s22_circ,29,22,circ,59,1.0,29,106,29,29,29,29,29,0,0,29,29,6,6,1,5,1,1,1,1,1,0,0,1,1,6,6
discovery,p29_s22_cross,29,22,cross,59,1.0,29,85,29,85,29,29,29,0,0,29,29,9,9,1,4,1,4,1,1,1,0,0,1,1,9,9
discovery,p29_s22_diag,29,22,diag,59,0.034482758620689655,29,82,29,82,29,1,1,0,0,1,1,12,12,1,52,1,50,1,0,0,0,0,0,0,59,
discovery,p29_s22_residual,29,22,residual,59,0.034482758620689655,29,55,26,55,26,1,1,0,0,1,1,11,11,1,4,1,4,1,0,0,0,0,0,0,8,
