name,p,saved_steps,has_step8,has_step9
p17_s100_cross,17,0|1|2|5|10|59,0,0
p17_s101_cross,17,0|1|2|5|10|59,0,0
p17_s102_cross,17,0|1|2|5|10|59,0,0
p17_s103_cross,17,0|1|2|5|10|59,0,0
p17_s104_cross,17,0|1|2|5|10|59,0,0
p17_s105_cross,17,0|1|2|5|10|59,0,0
p17_s106_cross,17,0|1|2|5|10|59,0,0
p17_s107_cross,17,0|1|2|5|10|59,0,0
p17_s108_cross,17,0|1|2|5|10|59,0,0
p17_s109_cross,17,0|1|2|5|10|59,0,0
p17_s110_cross,17,0|1|2|5|10|59,0,0
p17_s111_cross,17,0|1|2|5|10|59,0,0
p17_s112_cross,17,0|1|2|5|10|59,0,0
p17_s113_cross,17,0|1|2|5|10|59,0,0
p17_s114_cross,17,0|1|2|5|10|59,0,0
p17_s115_cross,17,0|1|2|5|10|59,0,0
p17_s116_cross,17,0|1|2|5|10|59,0,0
p17_s117_cross,17,0|1|2|5|10|59,0,0
p17_s118_cross,17,0|1|2|5|10|59,0,0
p17_s119_cross,17,0|1|2|5|10|59,0,0
p17_s120_cross,17,0|1|2|5|10|59,0,0
p17_s121_cross,17,0|1|2|5|10|59,0,0
p17_s122_cross,17,0|1|2|5|10|59,0,0
p17_s123_cross,17,0|1|2|5|10|59,0,0
p17_s124_cross,17,0|1|2|5|10|59,0,0
p17_s125_cross,17,0|1|2|5|10|59,0,0
p17_s126_cross,17,0|1|2|5|10|59,0,0
p17_s127_cross,17,0|1|2|5|10|59,0,0
p17_s128_cross,17,0|1|2|5|10|59,0,0
p17_s129_cross,17,0|1|2|5|10|59,0,0
p17_s130_cross,17,0|1|2|5|10|59,0,0
p17_s131_cross,17,0|1|2|5|10|59,0,0
p17_s132_cross,17,0|1|2|5|10|59,0,0
p17_s133_cross,17,0|1|2|5|10|59,0,0
p17_s134_cross,17,0|1|2|5|10|59,0,0
p17_s135_cross,17,0|1|2|5|10|59,0,0
p17_s136_cross,17,0|1|2|5|10|59,0,0
p17_s137_cross,17,0|1|2|5|10|59,0,0
p17_s138_cross,17,0|1|2|5|10|59,0,0
p17_s139_cross,17,0|1|2|5|10|59,0,0
p17_s140_cross,17,0|1|2|5|10|59,0,0
p17_s141_cross,17,0|1|2|5|10|59,0,0
p17_s142_cross,17,0|1|2|5|10|59,0,0
p17_s143_cross,17,0|1|2|5|10|59,0,0
p17_s144_cross,17,0|1|2|5|10|59,0,0
p17_s145_cross,17,0|1|2|5|10|59,0,0
p17_s146_cross,17,0|1|2|5|10|59,0,0
p17_s147_cross,17,0|1|2|5|10|59,0,0
p17_s148_cross,17,0|1|2|5|10|59,0,0
p17_s149_cross,17,0|1|2|5|10|59,0,0
p23_s100_cross,23,0|1|2|5|10|59,0,0
p23_s101_cross,23,0|1|2|5|10|59,0,0
p23_s102_cross,23,0|1|2|5|10|59,0,0
p23_s103_cross,23,0|1|2|5|10|59,0,0
p23_s104_cross,23,0|1|2|5|10|59,0,0
p23_s105_cross,23,0|1|2|5|10|59,0,0
p23_s106_cross,23,0|1|2|5|10|59,0,0
p23_s107_cross,23,0|1|2|5|10|59,0,0
p23_s108_cross,23,0|1|2|5|10|59,0,0
p23_s109_cross,23,0|1|2|5|10|59,0,0
p23_s110_cross,23,0|1|2|5|10|59,0,0
p23_s111_cross,23,0|1|2|5|10|59,0,0
p23_s112_cross,23,0|1|2|5|10|59,0,0
p23_s113_cross,23,0|1|2|5|10|59,0,0
p23_s114_cross,23,0|1|2|5|10|59,0,0
p23_s115_cross,23,0|1|2|5|10|59,0,0
p23_s116_cross,23,0|1|2|5|10|59,0,0
p23_s117_cross,23,0|1|2|5|10|59,0,0
p23_s118_cross,23,0|1|2|5|10|59,0,0
p23_s119_cross,23,0|1|2|5|10|59,0,0
p23_s120_cross,23,0|1|2|5|10|59,0,0
p23_s121_cross,23,0|1|2|5|10|59,0,0
p23_s122_cross,23,0|1|2|5|10|59,0,0
p23_s123_cross,23,0|1|2|5|10|59,0,0
p23_s124_cross,23,0|1|2|5|10|59,0,0
p23_s125_cross,23,0|1|2|5|10|59,0,0
p23_s126_cross,23,0|1|2|5|10|59,0,0
p23_s127_cross,23,0|1|2|5|10|59,0,0
p23_s128_cross,23,0|1|2|5|10|59,0,0
p23_s129_cross,23,0|1|2|5|10|59,0,0
