phase,p,view,anchor,horizon,rtol,runs,runs_with_eligible_leader,runs_with_displacement,runs_displaced_at_final,sequences,eligible_sequences,displaced_sequences,mean_within_run_displaced_fraction
confirmation,17,point,0,59,1e-10,50,50,50,50,850,850,845,0.9941176470588234
confirmation,17,point,0,59,1e-08,50,50,50,50,850,850,845,0.9941176470588234
confirmation,17,point,0,59,1e-06,50,50,50,50,850,850,845,0.9941176470588234
confirmation,17,point,0,59,0.0001,50,50,50,50,850,850,842,0.9905882352941177
confirmation,17,point,1,59,1e-10,50,50,50,50,850,850,840,0.9882352941176471
confirmation,17,point,1,59,1e-08,50,50,50,50,850,850,840,0.9882352941176471
confirmation,17,point,1,59,1e-06,50,50,50,50,850,850,840,0.9882352941176471
confirmation,17,point,1,59,0.0001,50,50,50,50,850,850,838,0.9858823529411765
confirmation,17,point,2,59,1e-10,50,50,50,50,850,850,830,0.9764705882352941
confirmation,17,point,2,59,1e-08,50,50,50,50,850,850,830,0.9764705882352941
confirmation,17,point,2,59,1e-06,50,50,50,50,850,850,830,0.9764705882352941
confirmation,17,point,2,59,0.0001,50,50,50,50,850,850,825,0.9705882352941176
confirmation,17,point,3,59,1e-10,50,50,50,50,850,850,803,0.9447058823529412
confirmation,17,point,3,59,1e-08,50,50,50,50,850,850,803,0.9447058823529412
confirmation,17,point,3,59,1e-06,50,50,50,50,850,850,803,0.9447058823529412
confirmation,17,point,3,59,0.0001,50,50,50,50,850,850,799,0.94
confirmation,17,point,5,59,1e-10,50,50,50,50,850,850,772,0.9082352941176471
confirmation,17,point,5,59,1e-08,50,50,50,50,850,850,772,0.9082352941176471
confirmation,17,point,5,59,1e-06,50,50,50,50,850,850,772,0.9082352941176471
confirmation,17,point,5,59,0.0001,50,50,50,50,850,850,772,0.9082352941176471
confirmation,17,point,10,59,1e-10,50,50,1,1,850,850,1,0.001176470588235294
confirmation,17,point,10,59,1e-08,50,50,1,1,850,850,1,0.001176470588235294
confirmation,17,point,10,59,1e-06,50,50,1,1,850,850,1,0.001176470588235294
confirmation,17,point,10,59,0.0001,50,50,1,1,850,850,1,0.001176470588235294
confirmation,17,point,15,59,1e-10,50,50,0,0,850,850,0,0.0
confirmation,17,point,15,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,15,59,1e-06,50,50,0,0,850,850,0,0.0
confirmation,17,point,15,59,0.0001,50,50,0,0,850,850,0,0.0
confirmation,17,point,20,59,1e-10,50,50,0,0,850,850,0,0.0
confirmation,17,point,20,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,20,59,1e-06,50,50,0,0,850,850,0,0.0
confirmation,17,point,20,59,0.0001,50,50,0,0,850,850,0,0.0
confirmation,17,point,30,59,1e-10,50,50,0,0,850,850,0,0.0
confirmation,17,point,30,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,30,59,1e-06,50,50,0,0,850,850,0,0.0
confirmation,17,point,30,59,0.0001,50,50,0,0,850,850,0,0.0
confirmation,17,point,40,59,1e-10,50,50,0,0,850,850,0,0.0
confirmation,17,point,40,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,40,59,1e-06,50,50,0,0,850,850,0,0.0
confirmation,17,point,40,59,0.0001,50,50,0,0,850,850,0,0.0
confirmation,17,point,50,59,1e-10,50,50,0,0,850,850,0,0.0
confirmation,17,point,50,59,1e-08,50,50,0,0,850,850,0,0.0
confirmation,17,point,50,59,1e-06,50,50,0,0,850,850,0,0.0
confirmation,17,point,50,59,0.0001,50,50,0,0,850,850,0,0.0
