p,view,rtol,sequences,leader_replacements,correctness_flips,correct_to_wrong,wrong_to_correct
17,point,1e-10,850,2732,666,0,666
17,point,1e-08,850,2731,666,0,666
17,point,1e-06,850,2729,666,0,666
17,point,0.0001,850,2550,666,0,666
17,profile,1e-10,50,155,41,0,41
17,profile,1e-08,50,155,41,0,41
17,profile,1e-06,50,155,41,0,41
17,profile,0.0001,50,113,41,0,41
23,point,1e-10,690,2299,588,0,588
23,point,1e-08,690,2299,588,0,588
23,point,1e-06,690,2298,588,0,588
23,point,0.0001,690,2187,588,0,588
23,profile,1e-10,30,98,27,0,27
23,profile,1e-08,30,98,27,0,27
23,profile,1e-06,30,98,27,0,27
23,profile,0.0001,30,83,27,0,27
