phase,name,p,seed,variant,view,test_a,truth,rtol,horizon,initial_informative_step,raw_argmax_changes,leader_replacements,correctness_flips,correct_to_wrong,wrong_to_correct,last_leader_replacement,last_correctness_flip,final_correct_state,final_winner_count,final_normalized_correct_margin
discovery,p17_none,17,0,none,profile,-1,0,1e-08,59,0,56,0,0,0,0,,,-1,1,-4.491612698270148
discovery,p17_none,17,0,none,point,0,0,1e-08,59,0,52,0,0,0,0,,,-1,1,-2.881336658232329
discovery,p17_none,17,0,none,point,1,2,1e-08,59,0,57,0,0,0,0,,,-1,1,-4.069203393000173
discovery,p17_none,17,0,none,point,2,4,1e-08,59,0,54,0,0,0,0,,,-1,1,-4.360948338279276
discovery,p17_none,17,0,none,point,3,6,1e-08,59,0,57,0,0,0,0,,,-1,1,-4.659900031085891
discovery,p17_none,17,0,none,point,4,8,1e-08,59,0,56,0,0,0,0,,,-1,1,-4.628322427369312
discovery,p17_none,17,0,none,point,5,10,1e-08,59,0,58,0,0,0,0,,,-1,1,-3.6266537364137514
discovery,p17_none,17,0,none,point,6,12,1e-08,59,0,58,0,0,0,0,,,-1,1,-4.638442951099263
discovery,p17_none,17,0,none,point,7,14,1e-08,59,0,55,0,0,0,0,,,-1,1,-4.871956198057571
discovery,p17_none,17,0,none,point,8,16,1e-08,59,0,56,0,0,0,0,,,-1,1,-3.695098504872642
discovery,p17_none,17,0,none,point,9,1,1e-08,59,0,56,0,0,0,0,,,-1,1,-4.614317969220784
discovery,p17_none,17,0,none,point,10,3,1e-08,59,0,56,0,0,0,0,,,-1,1,-3.167237322202811
discovery,p17_none,17,0,none,point,11,5,1e-08,59,0,54,0,0,0,0,,,-1,1,-4.379969422410897
discovery,p17_none,17,0,none,point,12,7,1e-08,59,0,56,0,0,0,0,,,-1,1,-4.584180855278419
discovery,p17_none,17,0,none,point,13,9,1e-08,59,0,54,0,0,0,0,,,-1,1,-3.32371798767326
discovery,p17_none,17,0,none,point,14,11,1e-08,59,0,52,0,0,0,0,,,-1,1,-3.6617103847518644
discovery,p17_none,17,0,none,point,15,13,1e-08,59,0,57,0,0,0,0,,,-1,1,-3.694945649201793
discovery,p17_none,17,0,none,point,16,15,1e-08,59,0,56,0,0,0,0,,,-1,1,-4.289891654998315
discovery,p17_s20_circ,17,20,circ,profile,-1,0,1e-08,59,0,28,0,0,0,0,,,-1,2,-0.5214604632950829
discovery,p17_s20_circ,17,20,circ,point,0,0,1e-08,59,0,28,0,0,0,0,,,-1,1,-0.5214603126281363
discovery,p17_s20_circ,17,20,circ,point,1,2,1e-08,59,0,33,0,0,0,0,,,-1,1,-0.5214606967166059
discovery,p17_s20_circ,17,20,circ,point,2,4,1e-08,59,0,23,0,0,0,0,,,-1,2,-0.5214605239668714
discovery,p17_s20_circ,17,20,circ,point,3,6,1e-08,59,0,26,0,0,0,0,,,-1,1,-0.5214602238185425
discovery,p17_s20_circ,17,20,circ,point,4,8,1e-08,59,0,26,0,0,0,0,,,-1,1,-0.5214602610689044
discovery,p17_s20_circ,17,20,circ,point,5,10,1e-08,59,0,31,0,0,0,0,,,-1,1,-0.5214601051565575
