p,seed,setting,acc,predicted_acc,error,denominator,centering,epsilon
17,100,default,0.7058823529411764,0.8869313875967076,0.18104903465553124,12.5,True,0.01
17,100,paper,0.11764705882352941,0.8869313875967076,0.7692843287731782,2.5,True,0.01
17,100,uncentered,0.5882352941176471,0.8869313875967076,0.29869609347906056,12.5,False,0.01
17,100,paper_uncentered,0.0,0.8869313875967076,0.8869313875967076,2.5,False,0.01
17,100,bw15,0.23529411764705882,0.8869313875967076,0.6516372699496489,4.5,True,0.01
17,100,bw20,0.47058823529411764,0.8869313875967076,0.41634315230259,8.0,True,0.01
17,100,bw30,0.8823529411764706,0.8869313875967076,0.004578446420237081,18.0,True,0.01
17,100,eps001,0.7058823529411764,0.8869313875967076,0.18104903465553124,12.5,True,0.001
17,100,eps03,0.9411764705882353,0.8869313875967076,0.05424508299152764,12.5,True,0.03
17,101,default,1.0,1.0,0.0,12.5,True,0.01
17,101,paper,1.0,1.0,0.0,2.5,True,0.01
17,101,uncentered,1.0,1.0,0.0,12.5,False,0.01
17,101,paper_uncentered,1.0,1.0,0.0,2.5,False,0.01
17,101,bw15,1.0,1.0,0.0,4.5,True,0.01
17,101,bw20,1.0,1.0,0.0,8.0,True,0.01
17,101,bw30,1.0,1.0,0.0,18.0,True,0.01
17,101,eps001,1.0,1.0,0.0,12.5,True,0.001
17,101,eps03,1.0,1.0,0.0,12.5,True,0.03
17,102,default,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.01
17,102,paper,0.5294117647058824,0.9656862745098039,0.4362745098039216,2.5,True,0.01
17,102,uncentered,0.7058823529411764,0.9656862745098039,0.2598039215686275,12.5,False,0.01
17,102,paper_uncentered,0.11764705882352941,0.9656862745098039,0.8480392156862745,2.5,False,0.01
17,102,bw15,0.9411764705882353,0.9656862745098039,0.02450980392156865,4.5,True,0.01
17,102,bw20,1.0,0.9656862745098039,0.03431372549019607,8.0,True,0.01
17,102,bw30,1.0,0.9656862745098039,0.03431372549019607,18.0,True,0.01
17,102,eps001,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.001
17,102,eps03,1.0,0.9656862745098039,0.03431372549019607,12.5,True,0.03
