name,p,seed,kind,acc,circulant_fraction,frequency_concentration,spectral_fraction,effective_rank,centered_energy_fraction
p17_none,17,0,none,0.0,,,,,
p17_s20_circ,17,20,circ,0.0,1.0,0.5328045188952035,0.26640225944760176,5.205583788080439,0.9999999999999998
p17_s20_cross,17,20,cross,0.0,0.04423443224681667,0.5328045188952034,0.15756519942749161,8.782325939463792,0.885211642057001
p17_s20_diag,17,20,diag,0.058823529411764705,,,,,
p17_s20_residual,17,20,residual,0.058823529411764705,2.2990396811881447e-33,0.0,0.1550365157067785,8.58842260065351,0.8798990444771474
p17_s21_circ,17,21,circ,1.0,0.9999999999999999,0.5468486466794618,0.273424323339731,5.210562510392102,0.9999999999999999
p17_s21_cross,17,21,cross,1.0,0.09424188402263921,0.5468486466794618,0.168784410859588,8.477913829911055,0.9410244161403205
p17_s21_diag,17,21,diag,0.058823529411764705,,,,,
p17_s21_residual,17,21,residual,0.058823529411764705,1.7786978533376683e-33,0.0,0.15909472880689335,8.610441968886436,0.9348881530075591
p17_s22_circ,17,22,circ,1.0,1.0,0.4806320448756682,0.2403160224378341,6.523590890770501,1.0
p17_s22_cross,17,22,cross,0.47058823529411764,0.05383225746461883,0.4806320448756682,0.1738448992192148,8.376314438057404,0.8885245080594767
p17_s22_diag,17,22,diag,0.058823529411764705,,,,,
p17_s22_residual,17,22,residual,0.0,2.36566331483688e-33,0.0,0.17655356744827463,8.09603976246856,0.8821821047906261
p17_s23_circ,17,23,circ,0.0,1.0,0.58061474210021,0.2903073710501051,5.110440682461215,0.9999999999999999
p17_s23_cross,17,23,cross,0.0,0.0651062061397667,0.58061474210021,0.1602749453016327,8.762453483710564,0.8458899827139046
p17_s23_diag,17,23,diag,0.058823529411764705,,,,,
p17_s23_residual,17,23,residual,0.058823529411764705,1.1639088581041204e-33,0.0,0.16259343609998608,8.947326479681776,0.8351577277566835
p17_s24_circ,17,24,circ,1.0,1.0,0.41559775604534904,0.20779887802267416,7.457877149609367,1.0
p17_s24_cross,17,24,cross,1.0,0.05003930901100757,0.41559775604534904,0.16959515686605636,7.945712369915042,0.8380539312377158
p17_s24_diag,17,24,diag,0.058823529411764705,,,,,
p17_s24_residual,17,24,residual,0.0,9.469034078596143e-34,0.0,0.17645595141303044,7.984430178617264,0.8295233999696512
p17_s30_cross,17,30,cross,0.058823529411764705,0.02318902697389591,0.3610264111624203,0.19225651864480126,7.893954650984878,0.9382372161995142
p17_s31_cross,17,31,cross,0.1764705882352941,0.09539697744194443,0.39528936924277597,0.1665024127846917,8.693346835764284,0.8869856838725759
p17_s32_cross,17,32,cross,0.47058823529411764,0.0765335074063251,0.3311298079532199,0.2398420766198124,6.563367433995113,0.8836766351132149
p17_s33_cross,17,33,cross,1.0,0.034499172714305824,0.34967045938029756,0.18205721501330285,8.55394692997092,0.9099714161129603
p17_s34_cross,17,34,cross,0.0,0.05236145042426913,0.5455647151227004,0.19356312141721044,8.513703800954705,0.9065193859936066
p17_s35_cross,17,35,cross,1.0,0.05141150455216635,0.4859386565153362,0.17368867880240826,8.645540842179173,0.8591270491428683
p17_s36_cross,17,36,cross,0.7647058823529411,0.07734771870473942,0.6971350178272261,0.1819291252088943,8.094967335597994,0.854820906822957
p17_s37_cross,17,37,cross,1.0,0.04682732234504425,0.6666871107101255,0.18301326687074995,7.8078628387949705,0.8879578173405591
p17_s38_cross,17,38,cross,1.0,0.05746058717477559,0.4047006411868066,0.19027487471498958,8.353441884515465,0.93773913918172
p17_s39_cross,17,39,cross,1.0,0.09285664483645029,0.24491399565030594,0.1793232110599461,8.114078598676189,0.8850349945201919
p17_s40_cross,17,40,cross,0.0,0.04285434864932118,0.5515237431191203,0.18068037942696655,8.254122501492029,0.9302390968395103
p17_s41_cross,17,41,cross,1.0,0.11011535601228717,0.2575666870554707,0.15838544896334172,8.825767359251559,0.8408592985535303
p17_s42_cross,17,42,cross,0.1764705882352941,0.04942869244737711,0.3616641854846897,0.19316936425291933,7.760321458231302,0.9182569426707449
p17_s43_cross,17,43,cross,1.0,0.057684292823144086,0.3633417897546469,0.17916149899388162,8.646987332801483,0.8546976640310188
p17_s44_cross,17,44,cross,1.0,0.04876652037553465,0.3783264932049558,0.17050570556635783,8.887568195376746,0.7903138572877971
p17_s45_cross,17,45,cross,0.8823529411764706,0.048605238791779116,0.4373503260503984,0.16487026935342325,9.11195963969149,0.9189054799086883
p17_s46_cross,17,46,cross,0.47058823529411764,0.11278172417464213,0.37097401595589985,0.22316569348055354,6.79345343120196,0.8978439690240789
p17_s47_cross,17,47,cross,0.0,0.05575337849885872,0.3800629220657331,0.17840275792367097,8.279758422807129,0.9484117394170792
p17_s48_cross,17,48,cross,0.5882352941176471,0.008068763271628664,0.33587705942071383,0.1713480318188271,8.457358927633415,0.8715666716758877
p17_s49_cross,17,49,cross,1.0,0.07327480768537419,0.3710899797660948,0.19144804609710558,7.615338895809496,0.9080480958786432
p17_s50_cross,17,50,cross,1.0,0.06708379523690843,0.3894250191426245,0.17030158441111984,8.686794755721031,0.8924797983021442
p17_s51_cross,17,51,cross,1.0,0.17823835699406382,0.5235325541680935,0.17750044192162193,8.69923164191334,0.9414768138563188
p17_s52_cross,17,52,cross,1.0,0.056097773347545093,0.46371633036297055,0.16537570888032352,8.794730998512641,0.8886593915579508
p17_s53_cross,17,53,cross,1.0,0.069383493671524,0.4834593225212818,0.17510455190999766,8.427829592046518,0.8767564842721828
p17_s54_cross,17,54,cross,1.0,0.0591370450977324,0.5959470498235765,0.2009262292379959,7.49361524934905,0.9222016151428453
p17_s55_cross,17,55,cross,1.0,0.11256654436878734,0.6194577524586419,0.18039711043318718,8.297341748179429,0.8715287539044376
p17_s56_cross,17,56,cross,0.0,0.06227399776874251,0.4281858691675856,0.1386981070872998,9.772572973335244,0.8551153343883193
p17_s57_cross,17,57,cross,1.0,0.06308446032608855,0.36140579363555303,0.16950852740933056,8.936417288120193,0.9052393748381591
p17_s58_cross,17,58,cross,0.29411764705882354,0.03871165095695486,0.49471377318591797,0.1833914541089447,8.146103783446947,0.8738275553589054
