p,kind,seed,iteration,epsilon,scaled_profile_relative_error,reference_profile_norm
17,pure_mode1,-1,0,0.001,2.0235435575915602e-05,1.0476095561678978e-05
17,pure_mode1,-1,1,0.001,0.00011607459842818801,3.966111547409564e-05
17,pure_mode1,-1,2,0.001,0.0004478535409936533,0.00013726137242183432
17,pure_mode1,-1,3,0.001,0.0015393438263717524,0.00045301160499810014
17,pure_mode1,-1,4,0.001,0.0045725897475399156,0.001279695399175297
17,pure_mode1,-1,5,0.001,0.009529659745313062,0.0027036073917835195
17,pure_mode1,-1,6,0.001,0.013520415433752904,0.0039730983355372885
17,pure_mode1,-1,7,0.001,0.028052277390536486,0.004200705307783607
17,pure_mode1,-1,8,0.001,0.016652836415255598,0.004389079208544422
17,pure_mode1,-1,9,0.001,0.014016535687175511,0.0044230330540509155
17,pure_mode1,-1,10,0.001,0.01395931767773706,0.0044274898576414715
17,pure_mode1,-1,11,0.001,0.013961546867395834,0.004427879790002588
17,pure_mode1,-1,12,0.001,0.013966275345376852,0.004427899071067318
17,pure_mode1,-1,13,0.001,0.01396756061836046,0.0044278947583265066
17,pure_mode1,-1,14,0.001,0.013969702499755819,0.004427898902124599
17,pure_mode1,-1,15,0.001,0.013967099601335351,0.0044278958493951795
17,pure_mode1,-1,16,0.001,0.013967411050527977,0.004427895934017414
17,pure_mode1,-1,17,0.001,0.01396658238170721,0.00442789348541925
17,pure_mode1,-1,18,0.001,0.013966772583401807,0.004427896468335797
17,pure_mode1,-1,19,0.001,0.01396753077549337,0.004427897205575894
17,pure_mode1,-1,20,0.001,0.013967773915557233,0.004427897153060332
17,pure_mode1,-1,21,0.001,0.013965985331980497,0.004427892355422213
17,pure_mode1,-1,22,0.001,0.013969434831581974,0.0044279009472395605
17,pure_mode1,-1,23,0.001,0.013964568627979495,0.004427892698922174
17,pure_mode1,-1,24,0.001,0.01396859342607983,0.004427893508684286
17,pure_mode1,-1,25,0.001,0.013968324275859603,0.004427892751339717
17,pure_mode1,-1,26,0.001,0.013969998784932908,0.004427893549940706
17,pure_mode1,-1,27,0.001,0.013968398390418165,0.004427892834474544
17,pure_mode1,-1,28,0.001,0.01396620935602722,0.004427895703985052
17,pure_mode1,-1,29,0.001,0.013966853626782816,0.004427895444534245
17,pure_mode1,-1,30,0.001,0.013967636570992823,0.004427894409317396
17,pure_mode1,-1,31,0.001,0.013967431172175184,0.004427893740527216
17,pure_mode1,-1,32,0.001,0.013965742140660042,0.004427894819166086
17,pure_mode1,-1,33,0.001,0.01396642598497479,0.004427897352815964
17,pure_mode1,-1,34,0.001,0.013966534389403878,0.004427893654524806
17,pure_mode1,-1,35,0.001,0.013965099846697783,0.004427895205601673
17,pure_mode1,-1,36,0.001,0.01396663272884501,0.004427893309734989
17,pure_mode1,-1,37,0.001,0.013962994282249907,0.004427892514387832
17,pure_mode1,-1,38,0.001,0.013965890489011956,0.0044278943762895056
17,pure_mode1,-1,39,0.001,0.013966420875009333,0.0044278976940821295
17,pure_mode1,-1,40,0.001,0.013969716956902854,0.004427895173213967
17,pure_mode1,-1,41,0.001,0.01396809801665691,0.004427896337182662
17,pure_mode1,-1,42,0.001,0.013968701130511692,0.004427896852879387
17,pure_mode1,-1,43,0.001,0.013963053924407528,0.0044278931736780915
17,pure_mode1,-1,44,0.001,0.013967589224682766,0.004427894042525253
17,pure_mode1,-1,45,0.001,0.013967151132764009,0.004427893089689557
17,pure_mode1,-1,46,0.001,0.013969043718150744,0.00442789438657273
17,pure_mode1,-1,47,0.001,0.013965132445505322,0.004427891667860985
17,pure_mode1,-1,48,0.001,0.013965804269518944,0.004427894017314401
17,pure_mode1,-1,49,0.001,0.013968338710711193,0.004427893629601766
17,pure_mode1,-1,50,0.001,0.013968203430354343,0.004427895490494028
17,pure_mode1,-1,51,0.001,0.013966632738117372,0.004427896329053057
17,pure_mode1,-1,52,0.001,0.013968175404352667,0.004427895367030254
17,pure_mode1,-1,53,0.001,0.013967909674192659,0.004427897880981655
17,pure_mode1,-1,54,0.001,0.013963548313895568,0.004427894231656633
17,pure_mode1,-1,55,0.001,0.013966550583443758,0.0044278945938970825
17,pure_mode1,-1,56,0.001,0.013968677402764947,0.004427897074190124
17,pure_mode1,-1,57,0.001,0.013966537256895863,0.0044278943418070435
17,pure_mode1,-1,58,0.001,0.013968282892650966,0.004427892143643518
17,pure_mode1,-1,59,0.001,0.013967371980317273,0.0044278959198228475
17,general_cross,100,59,0.001,0.011042276310246889,0.0035388119673938605
17,general_cross,100,59,0.03,0.07728405322055407,0.0035388119673938605
17,general_cross,101,59,0.001,0.015314970335367394,0.007586091842616106
17,general_cross,101,59,0.03,0.10349533992228575,0.007586091842616106
17,general_cross,102,59,0.001,0.00652959125608004,0.003375920680895226
17,general_cross,102,59,0.03,0.049139305643148765,0.003375920680895226
17,general_cross,103,59,0.001,0.00685232727580195,0.0021696677775110288
17,general_cross,103,59,0.03,0.05198218732569516,0.0021696677775110288
17,general_cross,104,59,0.001,0.007987916053538515,0.004510908759172225
17,general_cross,104,59,0.03,0.05898877690131552,0.004510908759172225
17,general_cross,105,59,0.001,0.0022759527706394792,0.0004491032392057951
