p,unit,relative_tensor_covariance_error
17,1,0.0
17,2,0.019450931352522585
17,3,0.018640127343970313
17,4,0.019427255651862096
17,5,0.018803740864515757
17,6,0.018640127343970313
17,7,0.018803740864515757
17,8,0.019450931352522585
17,9,0.019450931352522585
17,10,0.018803740864515757
17,11,0.018640127343970313
17,12,0.01880374086451576
17,13,0.0194272556518621
17,14,0.018640127343970313
17,15,0.019450931352522582
17,16,7.016035216461706e-12
23,1,0.0
23,2,0.06070080677203395
23,3,0.05838450168889735
23,4,0.06066689233257915
23,5,0.06087798591576896
23,6,0.06066689233257915
23,7,0.06066437338576066
23,8,0.05838450168889736
23,9,0.060877985915768956
23,10,0.060664373385760674
23,11,0.06070080677203395
23,12,0.060700806772033954
23,13,0.060664373385760674
23,14,0.06087798591576896
23,15,0.05838450168889735
23,16,0.060664373385760674
23,17,0.06066689233257914
23,18,0.060877985915768956
23,19,0.06066689233257914
23,20,0.05838450168889735
23,21,0.06070080677203395
23,22,5.4997639784202115e-12
